Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
0.975	42.624	0.000	-0.020	36.889	0.000	0.018	4.929	0.000	0.009
1.035	42.624	0.000	0.002	36.867	0.050	0.018	4.951	0.000	-0.013
1.071	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
1.107	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
1.143	42.624	0.000	-0.020	36.889	0.000	-0.004	4.929	0.000	0.009
1.180	42.624	0.000	0.002	36.889	-0.050	-0.004	4.929	0.000	0.009
1.217	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	-0.050	-0.013
1.253	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
1.288	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
1.325	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
1.361	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
1.398	42.624	0.000	0.002	36.867	0.000	-0.004	4.951	0.000	-0.013
1.434	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
1.470	42.624	0.050	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
1.506	42.624	0.000	0.002	36.889	0.000	0.018	4.929	0.000	-0.013
1.541	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
1.576	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
1.612	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.050	-0.013
1.648	42.647	-0.050	-0.020	36.889	0.000	-0.004	4.929	0.000	-0.013
1.685	42.624	0.000	0.002	36.889	0.000	0.018	4.929	0.000	0.009
1.721	42.647	0.000	-0.020	36.889	0.000	-0.004	4.951	0.000	-0.013
1.757	42.647	0.000	-0.020	36.869	-0.035	-0.004	4.920	0.000	0.016
1.794	42.647	-0.050	0.002	36.889	0.000	-0.004	4.951	0.050	0.009
1.829	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
1.865	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
1.901	42.624	0.000	-0.020	36.889	0.000	-0.004	4.929	0.000	0.009
