Writing PVE Log data!
Sample Time:50
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
1.341	42.624	0.000	0.002	36.889	-0.050	-0.004	4.951	0.000	-0.013
1.401	42.624	0.000	0.002	36.889	0.000	0.018	4.951	0.000	-0.013
1.461	42.602	0.000	0.002	36.867	0.000	0.018	4.951	0.000	-0.013
1.521	42.624	0.000	0.002	36.867	0.000	0.018	4.951	0.000	-0.013
1.580	42.624	0.000	0.002	36.867	0.035	0.018	4.951	0.000	-0.013
1.640	42.602	0.000	0.024	36.867	0.000	0.018	4.951	0.000	-0.013
1.700	42.624	0.000	0.024	36.889	0.000	-0.004	4.973	-0.050	-0.031
1.761	42.624	-0.050	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
1.822	42.624	0.000	0.024	36.867	0.050	0.018	4.951	0.000	-0.013
1.882	42.624	0.000	0.002	36.867	0.000	0.018	4.973	0.000	-0.036
1.942	42.624	0.000	0.002	36.867	0.000	0.031	4.951	0.000	-0.013
2.001	42.602	0.000	0.002	36.867	0.050	0.018	4.951	0.000	-0.036
2.062	42.624	-0.050	0.002	36.867	0.000	-0.004	4.951	0.000	-0.013
2.121	42.602	0.000	0.024	36.889	-0.050	0.018	4.951	0.000	-0.013
2.181	42.624	0.000	0.002	36.889	0.000	0.018	4.951	0.000	-0.036
2.240	42.624	0.000	0.024	36.867	0.000	0.018	4.951	0.000	-0.013
2.301	42.624	0.000	0.002	36.867	0.000	0.018	4.951	0.000	-0.013
2.361	42.624	-0.050	0.024	36.867	0.050	0.018	4.973	-0.050	-0.036
2.421	42.624	0.000	0.024	36.867	0.050	0.018	4.951	0.000	-0.013
2.481	42.624	0.000	0.024	36.867	0.050	0.018	4.951	0.000	-0.013
2.540	42.602	0.050	0.024	36.889	0.000	0.018	4.951	0.000	-0.013
2.601	42.624	0.000	0.002	36.867	0.050	-0.004	4.951	0.000	-0.013
