Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
1.110	42.647	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
1.146	42.624	0.000	0.002	36.889	0.050	-0.004	4.929	0.000	0.009
1.181	42.624	0.000	0.002	36.889	0.000	0.018	4.929	0.000	-0.013
1.217	42.624	0.050	0.002	36.867	0.000	0.018	4.929	0.000	-0.013
1.254	42.624	0.000	0.002	36.889	0.050	-0.004	4.951	0.000	0.020
1.290	42.624	0.000	-0.020	36.889	-0.050	-0.004	4.951	0.000	-0.013
1.325	42.647	0.000	0.002	36.889	-0.050	-0.004	4.929	0.050	0.009
1.361	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	0.009
1.398	42.624	0.050	0.002	36.889	0.000	-0.004	4.929	0.050	-0.013
1.434	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.009
1.471	42.647	-0.050	0.002	36.889	0.000	-0.004	4.951	0.050	0.009
1.506	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
1.542	42.647	0.000	-0.020	36.889	0.000	-0.004	4.951	-0.050	-0.013
1.577	42.624	0.000	-0.020	36.889	0.000	-0.004	4.929	-0.050	-0.013
1.612	42.647	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.009
1.648	42.647	0.000	-0.020	36.889	0.000	-0.004	4.951	0.000	-0.013
1.684	42.647	0.000	0.002	36.867	-0.050	-0.004	4.951	0.000	-0.013
1.719	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
1.755	42.624	0.000	0.002	36.889	0.050	0.018	4.929	-0.050	-0.013
1.790	42.624	0.050	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
1.825	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
1.861	42.624	0.000	-0.020	36.889	0.000	-0.004	4.951	0.000	0.009
1.898	42.647	-0.050	-0.020	36.867	0.000	-0.004	4.951	0.000	0.009
1.935	42.624	0.000	0.002	36.889	-0.050	-0.004	4.951	0.000	-0.013
1.971	42.647	0.000	0.002	36.889	0.000	0.018	4.929	0.050	0.009
2.006	42.647	0.000	-0.020	36.889	-0.050	0.018	4.951	0.000	-0.013
