Writing PVE Log data!
Sample Time:50
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
1.003	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.050	0.009
1.057	42.647	0.000	-0.020	36.889	0.000	-0.004	4.951	-0.050	0.009
1.117	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
1.177	42.647	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
1.238	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	0.050	-0.013
1.298	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.009
1.359	42.647	0.000	-0.020	36.889	0.000	-0.004	4.929	0.000	-0.013
1.418	42.624	0.000	0.002	36.867	0.000	0.018	4.951	0.050	-0.013
1.479	42.647	-0.050	-0.020	36.889	-0.050	-0.004	4.929	0.000	-0.013
1.538	42.647	-0.050	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
1.598	42.624	0.000	-0.020	36.889	0.000	-0.004	4.929	0.000	0.009
1.658	42.647	0.000	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
1.717	42.624	0.000	-0.020	36.867	0.050	-0.004	4.929	0.000	0.009
1.777	42.624	0.050	0.002	36.889	0.000	-0.004	4.929	0.000	-0.013
1.836	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	-0.050	-0.013
1.896	42.647	0.000	0.002	36.867	0.000	-0.004	4.951	0.050	0.009
1.955	42.624	0.000	0.002	36.889	0.000	-0.004	4.929	-0.050	-0.013
2.015	42.647	-0.050	-0.020	36.889	0.000	-0.004	4.951	0.050	0.009
2.074	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
2.134	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.009
2.194	42.624	0.000	-0.020	36.889	0.000	-0.004	4.951	0.000	-0.013
2.254	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	0.009
2.315	42.624	0.000	0.002	36.889	0.000	-0.004	4.951	0.000	-0.013
2.365	42.624	0.000	0.009	36.889	0.000	0.007	4.951	0.000	-0.011
2.426	42.818	0.020	0.040	37.053	0.000	0.067	4.773	0.000	0.198
2.486	43.613	0.010	-0.489	37.333	0.000	-0.160	3.907	-0.030	1.002
2.547	43.800	0.050	-1.167	36.978	-0.075	-0.344	2.476	-0.025	1.653
2.607	42.731	-0.030	-1.178	35.520	-0.050	-0.473	0.676	-0.045	1.593
