#1 - Actual Position	#1 - Desired Position
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
27.281	1000.000
253.187	1000.000
604.812	1000.000
808.250	1000.000
902.625	1000.000
943.281	1000.000
962.562	1000.000
974.375	1000.000
982.062	1000.000
987.031	1000.000
990.000	1000.000
991.562	1000.000
992.781	1000.000
993.469	1000.000
993.562	1000.000
994.031	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	1000.000
994.469	0.000
917.875	0.000
619.062	0.000
303.344	0.000
145.187	0.000
76.156	0.000
38.281	0.000
19.750	0.000
11.500	0.000
7.719	0.000
5.781	0.000
4.844	0.000
4.500	0.000
4.187	0.000
3.656	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
3.500	0.000
#3 - Desired Position	#4 - Desired Position
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
30000.000	10000.000
#3 - Actual Position	#4 - Actual Position
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
