X44.1046 Y0.3053 Z31.8774
X41.8155 Y0.8482 Z33.3533
X37.4629 Y3.1942 Z34.0174
X31.4363 Y7.2086 Z34.2310
X24.4597 Y12.6420 Z34.4619
X17.4611 Y19.0785 Z35.1682
X11.3104 Y25.9557 Z36.6741
X6.5459 Y32.6424 Z39.0583
X3.2752 Y38.5204 Z42.0950
X1.2932 Y43.0415 Z45.2980
X0.2921 Y45.7727 Z48.0861
X0.0398 Y46.4484 Z50.0130
X0.4801 Y45.0233 Z50.9484
X1.7517 Y41.6929 Z51.1072
X4.1300 Y36.8635 Z50.9191
X7.8921 Y31.0842 Z50.8246
X13.1174 Y24.9660 Z51.1064
X19.4929 Y19.0955 Z51.8118
X26.2562 Y13.9488 Z52.7606
X32.3673 Y9.8352 Z53.6109
X36.8201 Y6.9015 Z53.9564
X38.9090 Y5.1981 Z53.4423
X38.3578 Y4.7667 Z51.8738
X35.3412 Y5.6933 Z49.2754
X30.4437 Y8.0889 Z45.8726
X24.5603 Y11.9967 Z42.0141
X18.7109 Y17.2697 Z38.0770
X13.7824 Y23.5004 Z34.3818
X10.3063 Y30.0612 Z31.1204
X8.4012 Y36.2359 Z28.3041
X7.8892 Y41.3594 Z25.7608
X8.4809 Y44.9126 Z23.2183
X9.9339 Y46.5737 Z20.4761
X12.1420 Y46.2401 Z17.5794
X15.1495 Y44.0251 Z14.8655
X19.0900 Y40.2298 Z12.8206
X24.0648 Y35.3046 Z11.8428
X30.0045 Y29.8121 Z12.0697
X36.5854 Y24.3842 Z13.3444
X43.2554 Y19.6470 Z15.2862
X49.3564 Y16.1148 Z17.3963
X54.2696 Y14.1001 Z19.1573
X57.5265 Y13.7041 Z20.1247
X58.8753 Y14.8886 Z20.0114
X58.3139 Y17.5595 Z18.7508
X56.0867 Y21.5887 Z16.5073
X52.6392 Y26.7692 Z13.6263
X48.5319 Y32.7631 Z10.5486
X44.3265 Y39.1064 Z7.7163
X40.4695 Y45.2689 Z5.4846
X37.2112 Y50.7222 Z4.0465
X34.5958 Y54.9820 Z3.3894
X32.5249 Y57.6356 Z3.3189
X30.8659 Y58.3752 Z3.5723
X29.5581 Y57.0367 Z3.9836
X28.6701 Y53.6269 Z4.5999
X28.3909 Y48.3239 Z5.6601
X28.9560 Y41.4631 Z7.4490
X30.5343 Y33.5325 Z10.1287
X33.1060 Y25.1770 Z13.6470
X36.3815 Y17.1613 Z17.7445
X39.8091 Y10.2418 Z22.0260
X42.6816 Y4.9840 Z26.0506
X44.2965 Y1.6603 Z29.4225
