X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000 A-337.0296:0.0000 B-576.3208:0.0000 C-916.7529:0.0000
X42.6275:-0.1277 Y36.8841:-0.1687 Z4.9387:-0.2127 A-338.9026:-0.0504 B-579.4967:-0.0856 C-921.6055:-0.1292
X42.6163:-0.3828 Y36.8693:-0.5056 Z4.9201:-0.6373 A-340.5825:-0.0545 B-582.3603:-0.0927 C-925.8692:-0.1354
X42.5861:-0.8587 Y36.8293:-1.1338 Z4.8698:-1.4261 A-342.7525:-0.0600 B-586.0361:-0.1011 C-931.0984:-0.1379
X42.5273:-1.5215 Y36.7518:-2.0080 Z4.7725:-2.5148 A-344.7714:-0.0592 B-589.3944:-0.0970 C-935.3825:-0.1157
X42.4308:-2.3697 Y36.6245:-3.1251 Z4.6136:-3.8866 A-347.0072:-0.0671 B-592.9733:-0.1046 C-939.3259:-0.1047
X42.2873:-3.4032 Y36.4353:-4.4829 Z4.3795:-5.5178 A-349.5376:-0.0770 B-596.7861:-0.1119 C-942.7058:-0.0862
X42.0874:-4.6237 Y36.1722:-6.0808 Z4.0580:-7.3784 A-352.4847:-0.0907 B-600.8848:-0.1206 C-945.3410:-0.0622
X41.8217:-6.0349 Y35.8232:-7.9196 Z3.6385:-9.4302 A-355.9862:-0.1085 B-605.3087:-0.1302 C-947.0224:-0.0320
X41.4806:-7.6429 Y35.3762:-10.0017 Z3.1126:-11.6272 A-360.1918:-0.1307 B-610.0759:-0.1400 C-947.5109:0.0055
X41.0540:-9.4555 Y34.8189:-12.3298 Z2.4743:-13.9141 A-365.2588:-0.1574 B-615.1746:-0.1488 C-946.5353:0.0512
X40.5315:-11.4822 Y34.1391:-14.9056 Z1.7208:-16.2257 A-371.3470:-0.1885 B-620.5536:-0.1556 C-943.7932:0.1058
X39.9020:-13.7332 Y33.3243:-17.7283 Z0.8527:-18.4856 A-378.6117:-0.2240 B-626.1137:-0.1589 C-938.9542:0.1702
X39.1542:-16.2189 Y32.3623:-20.7916 Z-0.1254:-20.6051 A-387.1961:-0.2632 B-631.7008:-0.1569 C-931.6677:0.2446
X38.2761:-18.9484 Y31.2414:-24.0801 Z-1.2038:-22.4819 A-397.2206:-0.3055 B-637.1003:-0.1479 C-921.5751:0.3292
X37.2552:-21.9282 Y29.9510:-27.5654 Z-2.3675:-23.9987 A-408.7704:-0.3495 B-642.0354:-0.1302 C-908.3288:0.4233
X36.0791:-25.1614 Y28.4824:-31.2005 Z-3.5954:-25.0221 A-421.8796:-0.3936 B-646.1696:-0.1023 C-891.6179:0.5253
X34.7350:-28.6449 Y26.8298:-34.9133 Z-4.8589:-25.4017 A-436.5137:-0.4355 B-649.1152:-0.0627 C-871.2016:0.6328
X33.2106:-32.3674 Y24.9916:-38.5993 Z-6.1220:-24.9698 A-452.5494:-0.4725 B-650.4493:-0.0108 C-846.9508:0.7419
X31.4946:-36.3066 Y22.9728:-42.1145 Z-7.3393:-23.5440 A-469.7542:-0.5012 B-649.7404:0.0530 C-818.8981:0.8473
X29.5770:-40.4246 Y20.7863:-45.2688 Z-8.4566:-20.9310 A-487.7681:-0.5177 B-646.5899:0.1272 C-787.2970:0.9418
X27.4503:-44.6628 Y18.4560:-47.8236 Z-9.4095:-16.9385 A-506.0921:-0.5180 B-640.6909:0.2081 C-752.6888:1.0161
X25.1103:-48.9352 Y16.0187:-49.4973 Z-10.1247:-11.3945 A-524.0870:-0.4984 B-631.9108:0.2892 C-715.9757:1.0590
X22.5583:-53.1200 Y13.5261:-49.9833 Z-10.5214:-4.1808 A-540.9907:-0.4557 B-620.3930:0.3614 C-678.4885:1.0576
X19.8027:-57.0507 Y11.0449:-48.9861 Z-10.5152:4.7185 A-555.9579:-0.3885 B-606.6623:0.4123 C-642.0221:0.9988
X16.8613:-60.5079 Y8.6557:-46.2751 Z-10.0246:15.1548 A-568.1293:-0.2975 B-591.6933:0.4292 C-608.7864:0.8729
X13.7646:-63.2140 Y6.4471:-41.7507 Z-8.9809:26.7559 A-576.7307:-0.1870 B-576.8806:0.4020 C-581.1961:0.6794
X10.5580:-64.8372 Y4.5088:-35.5019 Z-7.3405:38.8959 A-581.2034:-0.0652 B-563.8589:0.3280 C-561.4428:0.4326
X7.3050:-65.0090 Y2.9202:-27.8310 Z-5.0966:50.7341 A-581.3618:0.0549 B-554.1767:0.2151 C-550.9011:0.1645
X4.0872:-63.3640 Y1.7410:-19.2249 Z-2.2874:61.3381 A-577.5642:0.1555 B-548.9304:0.0804 C-549.5845:-0.0818
X1.0034:-59.6051 Y1.0034:-10.2739 Z1.0034:69.8709 A-570.8577:0.2159 B-548.5238:-0.0555 C-555.9570:-0.2648
