X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000 A-337.0296:0.0000 B-576.3208:0.0000 C-916.7529:0.0000
X42.6237:-0.8606 Y36.8790:-1.1365 Z4.9324:-1.4315 A-362.2574:-1.3530 B-618.9524:-2.2746 C-981.9217:-3.4486
X42.5861:-2.5758 Y36.8293:-3.4013 Z4.8698:-4.2806 A-384.7626:-1.4690 B-656.5694:-2.4021 C-1038.4175:-3.5196
X42.4844:-5.7669 Y36.6951:-7.6086 Z4.7016:-9.5026 A-414.4665:-1.6783 B-703.5122:-2.5277 C-1104.5856:-3.3518
X42.2873:-10.2089 Y36.4353:-13.4481 Z4.3795:-16.5566 A-443.7553:-1.7875 B-744.3185:-2.3044 C-1153.0357:-2.4025
X41.9634:-15.9146 Y36.0092:-20.9095 Z3.8611:-25.1527 A-478.9438:-2.2037 B-785.8927:-2.3713 C-1189.3622:-1.6086
X41.4806:-22.9280 Y35.3762:-30.0056 Z3.1126:-34.8857 A-522.2114:-2.7261 B-827.8154:-2.3816 C-1208.0678:-0.4698
X40.8054:-31.3241 Y34.4951:-40.7617 Z2.1120:-45.2188 A-575.6367:-3.3440 B-869.5328:-2.3337 C-1204.3345:0.9400
X39.9020:-41.2002 Y33.3243:-53.1886 Z0.8527:-55.4624 A-640.2458:-3.9780 B-909.2974:-2.1444 C-1173.3670:2.6152
X38.7322:-52.6593 Y31.8224:-67.2337 Z-0.6528:-64.7487 A-715.3639:-4.5129 B-943.7507:-1.7126 C-1110.7335:4.5230
X37.2552:-65.7871 Y29.9510:-82.7065 Z-2.3675:-72.0030 A-797.9608:-4.7971 B-967.6397:-0.9265 C-1012.8537:6.5980
X35.4288:-80.6209 Y27.6793:-99.1733 Z-4.2248:-75.9139 A-882.0719:-4.6512 B-973.7568:0.3209 C-877.6531:8.7335
X33.2106:-97.1086 Y24.9916:-115.8165 Z-6.1220:-74.9134 A-958.4535:-3.8872 B-953.2220:2.1079 C-705.3918:10.7702
X30.5616:-115.0489 Y21.8993:-131.2702 Z-7.9143:-67.1899 A-1014.7350:-2.3466 B-896.3319:4.4412 C-499.7388:12.4772
X27.4503:-134.0030 Y18.4560:-143.4799 Z-9.4095:-50.7928 A-1036.4172:0.0409 B-794.4467:7.1747 C-269.3701:13.5056
X23.8605:-153.1632 Y14.7755:-149.7087 Z-10.3681:-23.9472 A-1009.0532:3.1843 B-643.6558:9.8867 C-30.6544:13.3066
X19.8027:-171.1751 Y11.0449:-146.9056 Z-10.5152:14.2447 A-921.6608:6.7725 B-450.5584:11.7884 C188.4209:11.1017
X15.3299:-185.9417 Y7.5231:-132.6353 Z-9.5753:62.6241 A-770.7346:10.2780 B-238.0470:11.8808 C345.8469:6.1771
X10.5580:-194.5091 Y4.5088:-106.4335 Z-7.3405:116.7218 A-563.4649:13.0410 B-44.9372:9.5200 C392.6325:-1.3122
X5.6859:-193.2592 Y2.2767:-70.8073 Z-3.7585:168.6667 A-319.1270:14.3588 B86.4011:5.0691 C295.4766:-9.6347
X1.0034:-178.7210 Y1.0034:-30.8595 Z1.0034:209.4674 A-69.3188:13.5233 B129.8332:-0.0991 C63.2235:-16.0545
X-3.1294:-149.1414 Y0.7226:7.5609 Z6.5763:232.8460 A142.9756:10.0158 B87.1000:-4.4488 C-249.9531:-18.6207
X-6.3478:-106.2462 Y1.3340:39.9341 Z12.4973:237.7138 A270.7509:4.0729 B-18.3650:-7.1785 C-572.3931:-17.3464
X-8.3814:-55.7770 Y2.6531:64.0436 Z18.3389:227.4879 A281.2871:-2.8761 B-157.4627:-8.3620 C-847.8279:-13.6417
X-9.1392:-5.7401 Y4.4673:79.6931 Z23.7900:207.4878 A175.0192:-8.7580 B-307.1234:-8.4810 C-1047.8925:-9.0270
X-8.7276:36.7238 Y6.5763:87.8786 Z28.6714:182.6614 A-14.0701:-12.1287 B-452.9076:-7.9838 C-1166.2855:-4.4834
X-7.3953:67.5960 Y8.8113:90.0511 Z32.9109:156.5925 A-238.2248:-12.8650 B-586.6744:-7.1469 C-1209.2254:-0.5205
X-5.4471:86.1915 Y11.0407:87.6788 Z36.5075:131.4743 A-457.2585:-11.7530 B-703.8527:-6.1171 C-1189.4523:2.5992
X-3.1741:94.0245 Y13.1678:82.0574 Z39.5012:108.4612 A-647.2377:-9.7189 B-801.8254:-4.9793 C-1123.0492:4.7581
X-0.8152:93.5223 Y15.1252:74.2598 Z41.9516:88.0425 A-798.2959:-7.4171 B-879.2561:-3.7977 C-1027.0827:5.9643
X1.4530:87.1758 Y16.8696:65.1486 Z43.9255:70.3196 A-909.2371:-5.2032 B-935.8847:-2.6304 C-917.4591:6.3368
X3.5123:77.1439 Y18.3772:55.4073 Z45.4890:55.1821 A-983.2062:-3.2361 B-972.4286:-1.5285 C-807.2554:6.0691
X5.2932:65.1427 Y19.6391:45.5752 Z46.7042:42.4138 A-1025.1071:-1.5678 B-990.4108:-0.5311 C-705.8017:5.3844
X6.7634:52.4717 Y20.6586:36.0773 Z47.6273:31.7570 A-1040.2452:-0.1975 B-991.9065:0.3382 C-618.5227:4.4965
X7.9188:40.0886 Y21.4484:27.2495 Z48.3076:22.9549 A-1033.6753:0.8992 B-979.2750:1.0703 C-547.3567:3.5839
X8.7758:28.6919 Y22.0288:19.3590 Z48.7886:15.7799 A-1009.9426:1.7579 B-954.9425:1.6691 C-491.5137:2.7782
X9.3657:18.7894 Y22.4259:12.6193 Z49.1087:10.0531 A-973.0345:2.3370 B-921.2660:2.0790 C-448.3767:2.1249
X9.7306:10.7493 Y22.6707:7.2001 Z49.3024:5.6541 A-927.2371:3.0999 B-881.1589:2.6823 C-414.7625:1.8445
X9.9207:4.8337 Y22.7980:3.2333 Z49.4020:2.5195 A-866.7212:3.1968 B-829.0976:2.7399 C-383.1531:1.5273
