X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000 A-337.0296:0.0000 B-576.3208:0.0000 C-916.7529:0.0000
X42.5861:-3.4183 Y36.8293:-4.5088 Z4.8698:-5.6183 A-388.1077:-1.4283 B-660.6475:-2.2528 C-1042.6574:-3.1710
X42.2873:-10.1945 Y36.4353:-13.4390 Z4.3795:-16.6146 A-437.8102:-1.8489 B-735.2769:-2.4085 C-1140.4973:-2.5521
X41.4806:-22.9181 Y35.3762:-30.0165 Z3.1126:-34.9627 A-524.1142:-2.8917 B-829.9310:-2.5905 C-1209.6928:-0.6820
X39.9020:-41.2103 Y33.3243:-53.2626 Z0.8527:-55.5658 A-642.3526:-3.9851 B-910.9486:-2.1218 C-1172.5925:2.7201
X37.2552:-65.8350 Y29.9510:-82.9013 Z-2.3675:-72.1248 A-800.2260:-4.7872 B-969.3207:-0.8848 C-1010.6778:6.6817
X33.2106:-97.2342 Y24.9916:-116.1344 Z-6.1220:-74.9469 A-959.5678:-3.7926 B-952.0942:2.3788 C-699.9709:11.0133
X27.4503:-134.2774 Y18.4560:-143.5524 Z-9.4095:-50.2876 A-1035.1403:0.2317 B-784.4901:7.5329 C-257.4993:13.5845
X19.8027:-171.5509 Y11.0449:-145.9833 Z-10.5152:15.7105 A-916.0514:7.0487 B-439.3945:11.2344 C190.2424:9.8964
X10.5580:-194.3267 Y4.5088:-105.3501 Z-7.3405:117.0696 A-550.1789:13.0747 B-56.8589:8.6219 C359.9053:-1.9715
X1.0034:-177.1748 Y1.0034:-31.3673 Z1.0034:207.3294 A-64.0126:12.4996 B112.7704:0.4205 C49.5202:-14.2744
X-6.3478:-105.3130 Y1.3340:39.0150 Z12.4973:236.7353 A245.8823:3.4808 B-17.3283:-6.5797 C-548.6252:-16.7831
X-9.1392:-7.0041 Y4.4673:79.4226 Z23.7900:208.0178 A160.6291:-7.5745 B-301.1705:-8.5303 C-1034.7942:-9.7085
X-7.3953:66.5343 Y8.8113:90.1136 Z32.9109:157.1023 A-226.6758:-12.3635 B-582.8221:-7.2544 C-1209.3185:-0.8416
X-3.1741:93.9227 Y13.1678:82.1587 Z39.5012:108.6708 A-637.7451:-10.0531 B-799.8006:-5.0294 C-1125.8252:4.6850
X1.4530:87.3730 Y16.8696:65.2213 Z43.9255:70.3796 A-906.9307:-5.4131 B-935.1373:-2.6622 C-920.5943:6.3290
X5.2932:65.3117 Y19.6391:45.6205 Z46.7042:42.4158 A-1025.3445:-1.6700 B-990.4334:-0.6003 C-708.4256:5.3966
X7.9188:40.1867 Y21.4484:27.2772 Z48.3076:22.9322 A-1035.7930:1.1189 B-980.8353:1.2552 C-549.5427:3.7715
X9.3657:18.8448 Y22.4259:12.6389 Z49.1087:10.0261 A-961.6316:2.4807 B-911.2294:2.1924 C-442.1261:2.1909
X9.9207:6.3585 Y22.7980:4.2610 Z49.4020:3.3538 A-870.9443:2.9030 B-832.8958:2.4961 C-386.9083:1.5200
X10.0015:0.0000 Y22.8520:0.0000 Z49.4441:0.0000 A-756.7983:0.0000 B-735.1082:0.0000 C-334.8728:0.0000
