X42.6291 Y36.8862 Z4.9414 A-337.0296 B-576.3208 C-916.7529
X42.6275 Y36.8841 Z4.9387 A-338.9026 B-579.4967 C-921.6055
X42.6163 Y36.8693 Z4.9201 A-340.5825 B-582.3603 C-925.8692
X42.5861 Y36.8293 Z4.8698 A-342.7525 B-586.0361 C-931.0984
X42.5273 Y36.7518 Z4.7725 A-344.7714 B-589.3944 C-935.3825
X42.4308 Y36.6245 Z4.6136 A-347.0072 B-592.9733 C-939.3259
X42.2873 Y36.4353 Z4.3795 A-349.5376 B-596.7861 C-942.7058
X42.0874 Y36.1722 Z4.0580 A-352.4847 B-600.8848 C-945.3410
X41.8217 Y35.8232 Z3.6385 A-355.9862 B-605.3087 C-947.0224
X41.4806 Y35.3762 Z3.1126 A-360.1918 B-610.0759 C-947.5109
X41.0540 Y34.8189 Z2.4743 A-365.2588 B-615.1746 C-946.5353
X40.5315 Y34.1391 Z1.7208 A-371.3470 B-620.5536 C-943.7932
X39.9020 Y33.3243 Z0.8527 A-378.6117 B-626.1137 C-938.9542
X39.1542 Y32.3623 Z-0.1254 A-387.1961 B-631.7008 C-931.6677
X38.2761 Y31.2414 Z-1.2038 A-397.2206 B-637.1003 C-921.5751
X37.2552 Y29.9510 Z-2.3675 A-408.7704 B-642.0354 C-908.3288
X36.0791 Y28.4824 Z-3.5954 A-421.8796 B-646.1696 C-891.6179
X34.7350 Y26.8298 Z-4.8589 A-436.5137 B-649.1152 C-871.2016
X33.2106 Y24.9916 Z-6.1220 A-452.5494 B-650.4493 C-846.9508
X31.4946 Y22.9728 Z-7.3393 A-469.7542 B-649.7404 C-818.8981
X29.5770 Y20.7863 Z-8.4566 A-487.7681 B-646.5899 C-787.2970
X27.4503 Y18.4560 Z-9.4095 A-506.0921 B-640.6909 C-752.6888
X25.1103 Y16.0187 Z-10.1247 A-524.0870 B-631.9108 C-715.9757
X22.5583 Y13.5261 Z-10.5214 A-540.9907 B-620.3930 C-678.4885
X19.8027 Y11.0449 Z-10.5152 A-555.9579 B-606.6623 C-642.0221
X16.8613 Y8.6557 Z-10.0246 A-568.1293 B-591.6933 C-608.7864
X13.7646 Y6.4471 Z-8.9809 A-576.7307 B-576.8806 C-581.1961
X10.5580 Y4.5088 Z-7.3405 A-581.2034 B-563.8589 C-561.4428
X7.3050 Y2.9202 Z-5.0966 A-581.3618 B-554.1767 C-550.9011
X4.0872 Y1.7410 Z-2.2874 A-577.5642 B-548.9304 C-549.5845
X1.0034 Y1.0034 Z1.0034 A-570.8577 B-548.5238 C-555.9570
X-1.8363 Y0.7098 Z4.6567 A-563.0142 B-552.6761 C-567.2737
X-4.3201 Y0.8352 Z8.5342 A-556.3559 B-560.6554 C-580.3091
X-6.3478 Y1.3340 Z12.4973 A-553.3210 B-571.5925 C-592.1188
X-7.8451 Y2.1479 Z16.4225 A-555.8630 B-584.7139 C-600.5261
X-8.7743 Y3.2133 Z20.2107 A-564.9218 B-599.4204 C-604.2567
X-9.1392 Y4.4673 Z23.7900 A-580.2231 B-615.2457 C-602.8284
X-8.9814 Y5.8517 Z27.1138 A-600.4817 B-631.7735 C-596.3501
X-8.3711 Y7.3145 Z30.1570 A-623.8691 B-648.5797 C-585.3278
X-7.3953 Y8.8113 Z32.9109 A-648.4991 B-665.2195 C-570.5118
X-6.1461 Y10.3048 Z35.3782 A-672.7622 B-681.2502 C-552.7824
X-4.7125 Y11.7650 Z37.5697 A-695.4700 B-696.2668 C-533.0629
X-3.1741 Y13.1678 Z39.5012 A-715.8581 B-709.9353 C-512.2510
X-1.5988 Y14.4947 Z41.1911 A-733.5195 B-722.0134 C-491.1670
X-0.0421 Y15.7319 Z42.6592 A-748.3172 B-732.3574 C-470.5164
X1.4530 Y16.8696 Z43.9255 A-760.3022 B-740.9171 C-450.8688
X2.8542 Y17.9018 Z45.0095 A-769.6469 B-747.7226 C-432.6499
X4.1391 Y18.8251 Z45.9299 A-776.5939 B-752.8655 C-416.1456
X5.2932 Y19.6391 Z46.7042 A-781.4185 B-756.4805 C-401.5141
X6.3086 Y20.3451 Z47.3489 A-784.4029 B-758.7268 C-388.8034
X7.1831 Y20.9465 Z47.8787 A-785.8190 B-759.7736 C-377.9715
X7.9188 Y21.4484 Z48.3076 A-785.9177 B-759.7884 C-368.9063
X8.5216 Y21.8571 Z48.6480 A-784.9247 B-758.9294 C-361.4451
X9.0002 Y22.1801 Z48.9114 A-783.0381 B-757.3415 C-355.3918
X9.3657 Y22.4259 Z49.1087 A-780.4305 B-755.1545 C-350.5315
X9.6310 Y22.6039 Z49.2499 A-777.2516 B-752.4836 C-346.6439
X9.8108 Y22.7244 Z49.3445 A-773.6311 B-749.4312 C-343.5135
X9.9207 Y22.7980 Z49.4020 A-769.7426 B-746.1401 C-340.9646
X9.9775 Y22.8359 Z49.4316 A-765.0202 B-742.1242 C-338.5301
X9.9985 Y22.8500 Z49.4425 A-761.1759 B-738.8482 C-336.7580
X10.0015 Y22.8520 Z49.4441 A-756.7983 B-735.1082 C-334.8728
X10.0015 Y22.8520 Z49.4441 A0.0000 B0.0000 C0.0000
