X52.6303 Y21.7351 Z65.9336 A-525.1994 B-989.8448 C-9.0524
X52.5716 Y21.6862 Z65.8916 A-599.9522 B-1078.1749 C-39.2197
X52.1670 Y21.3515 Z65.6009 A-664.4337 B-1146.4163 C-74.0603
X51.0955 Y20.4883 Z64.8223 A-734.9906 B-1188.6276 C-151.3024
X49.0831 Y18.9550 Z63.3247 A-775.5635 B-1147.2720 C-278.3477
X45.9445 Y16.7814 Z60.8864 A-776.4147 B-1009.5179 C-462.0591
X41.6788 Y14.2444 Z57.3232 A-706.7286 B-770.8460 C-660.5575
X36.6281 Y11.9273 Z52.5603 A-546.7388 B-471.1704 C-780.8606
X31.6139 Y10.6977 Z46.7541 A-326.0302 B-208.5694 C-716.6014
X27.8227 Y11.4923 Z40.4449 A-143.0740 B-115.5749 C-444.6248
X26.2637 Y14.8290 Z34.6228 A-106.1790 B-270.0691 C-97.8041
X27.1509 Y20.3156 Z30.4696 A-232.8490 B-603.2158 C113.0930
X29.8655 Y26.7642 Z28.7358 A-436.0248 B-930.5985 C76.7705
X33.4557 Y32.9172 Z29.2823 A-615.2559 B-1099.1433 C-149.6306
X37.0922 Y38.0058 Z31.2783 A-725.0103 B-1085.5611 C-429.0786
X40.2352 Y41.7886 Z33.7519 A-766.9467 B-962.9205 C-654.2452
X42.6212 Y44.3480 Z35.9779 A-759.8965 B-817.1453 C-783.0933
X44.1961 Y45.9031 Z37.5835 A-723.3476 B-699.2679 C-821.4286
X45.0524 Y46.7056 Z38.4965 A-660.2834 B-611.2094 C-783.8667
X45.3792 Y47.0040 Z38.8521 A-601.7769 B-560.7074 C-722.8387
X45.4268 Y47.0471 Z38.9041 A-533.5968 B-510.2665 C-644.9007
X45.4268 Y47.0471 Z38.9041 A0.0000 B0.0000 C0.0000
