X42.6291 Y36.8862 Z4.9414 A-337.0296 B-576.3208 C-916.7529
X42.5861 Y36.8293 Z4.8698 A-388.1077 B-660.6475 C-1042.6574
X42.2873 Y36.4353 Z4.3795 A-437.8102 B-735.2769 C-1140.4973
X41.4806 Y35.3762 Z3.1126 A-524.1142 B-829.9310 C-1209.6928
X39.9020 Y33.3243 Z0.8527 A-642.3526 B-910.9486 C-1172.5925
X37.2552 Y29.9510 Z-2.3675 A-800.2260 B-969.3207 C-1010.6778
X33.2106 Y24.9916 Z-6.1220 A-959.5678 B-952.0942 C-699.9709
X27.4503 Y18.4560 Z-9.4095 A-1035.1403 B-784.4901 C-257.4993
X19.8027 Y11.0449 Z-10.5152 A-916.0514 B-439.3945 C190.2424
X10.5580 Y4.5088 Z-7.3405 A-550.1789 B-56.8589 C359.9053
X1.0034 Y1.0034 Z1.0034 A-64.0126 B112.7704 C49.5202
X-6.3478 Y1.3340 Z12.4973 A245.8823 B-17.3283 C-548.6252
X-9.1392 Y4.4673 Z23.7900 A160.6291 B-301.1705 C-1034.7942
X-7.3953 Y8.8113 Z32.9109 A-226.6758 B-582.8221 C-1209.3185
X-3.1741 Y13.1678 Z39.5012 A-637.7451 B-799.8006 C-1125.8252
X1.4530 Y16.8696 Z43.9255 A-906.9307 B-935.1373 C-920.5943
X5.2932 Y19.6391 Z46.7042 A-1025.3445 B-990.4334 C-708.4256
X7.9188 Y21.4484 Z48.3076 A-1035.7930 B-980.8353 C-549.5427
X9.3657 Y22.4259 Z49.1087 A-961.6316 B-911.2294 C-442.1261
X9.9207 Y22.7980 Z49.4020 A-870.9443 B-832.8958 C-386.9083
X10.0015 Y22.8520 Z49.4441 A-756.7983 B-735.1082 C-334.8728
X10.0015 Y22.8520 Z49.4441 A0.0000 B0.0000 C0.0000
