X42.6291 Y36.8862 Z4.9414 A-920.2874 B-1573.6920 C-2503.2702
X42.5861 Y36.8293 Z4.8698 A-1059.7603 B-1803.9530 C-2847.0629
X42.2873 Y36.4353 Z4.3795 A-1195.4771 B-2007.7349 C-3114.2228
X41.4806 Y35.3762 Z3.1126 A-1431.1376 B-2266.1958 C-3303.1671
X39.9020 Y33.3243 Z0.8527 A-1753.9972 B-2487.4211 C-3201.8615
X37.2552 Y29.9510 Z-2.3675 A-2185.0838 B-2646.8110 C-2759.7400
X33.2106 Y24.9916 Z-6.1220 A-2620.1798 B-2599.7727 C-1911.3289
X27.4503 Y18.4560 Z-9.4095 A-2826.5369 B-2142.1155 C-703.1234
X19.8027 Y11.0449 Z-10.5152 A-2501.3547 B-1199.8034 C519.4726
X10.5580 Y4.5088 Z-7.3405 A-1502.3094 B-155.2579 C982.7513
X1.0034 Y1.0034 Z1.0034 A-174.7918 B307.9290 C135.2190
X-6.3478 Y1.3340 Z12.4973 A671.4022 B-47.3163 C-1498.0669
X-9.1392 Y4.4673 Z23.7900 A438.6112 B-822.3712 C-2825.5919
X-7.3953 Y8.8113 Z32.9109 A-618.9570 B-1591.4442 C-3302.1449
X-3.1741 Y13.1678 Z39.5012 A-1741.4161 B-2183.9222 C-3074.1595
X1.4530 Y16.8696 Z43.9255 A-2476.4499 B-2553.4703 C-2513.7594
X5.2932 Y19.6391 Z46.7042 A-2799.7887 B-2704.4609 C-1934.4152
X7.9188 Y21.4484 Z48.3076 A-2828.3192 B-2678.2525 C-1500.5721
X9.3657 Y22.4259 Z49.1087 A-2625.8151 B-2488.1877 C-1207.2621
X9.9207 Y22.7980 Z49.4020 A-2378.1861 B-2274.2915 C-1056.4854
X10.0015 Y22.8520 Z49.4441 A-2066.5007 B-2007.2742 C-914.3980
