X42.6291 Y36.8862 Z4.9414 A-337.0296 B-576.3208 C-916.7529
X42.6287 Y36.8855 Z4.9396 A-388.3369 B-662.2637 C-1047.3348
X42.3719 Y36.5461 Z4.5090 A-431.7099 B-731.9395 C-1145.2713
X41.6092 Y35.5416 Z3.2781 A-518.7919 B-832.2038 C-1227.4088
X40.0801 Y33.5445 Z1.0127 A-635.7467 B-914.7228 C-1193.3949
X37.4882 Y30.2154 Z-2.2785 A-799.9813 B-981.9205 C-1035.4765
X33.4966 Y25.2543 Z-6.1998 A-973.5293 B-977.1572 C-721.9317
X27.7648 Y18.6019 Z-9.7731 A-1067.5839 B-814.0720 C-258.3777
X20.0689 Y10.8991 Z-11.2285 A-957.1820 B-445.6346 C236.5888
X10.6097 Y4.0036 Z-8.2021 A-570.2279 B-21.3745 C439.9133
X0.6362 Y0.3641 Z0.4784 A-34.6341 B162.7250 C97.4802
X-7.1078 Y0.8669 Z12.5308 A311.7404 B8.2957 C-567.2880
X-9.8951 Y4.2656 Z24.1520 A210.9711 B-301.5357 C-1086.7350
X-7.8082 Y8.8091 Z33.3326 A-222.7150 B-593.6009 C-1252.3214
X-3.2417 Y13.2769 Z39.8622 A-661.3924 B-813.4076 C-1146.1148
X1.5841 Y17.0250 Z44.1997 A-932.0593 B-948.4774 C-921.7506
X5.4956 Y19.7991 Z46.9001 A-1043.3387 B-1001.2491 C-699.5447
X8.1153 Y21.5871 Z48.4413 A-1049.8947 B-990.8366 C-540.9649
X9.5143 Y22.5268 Z49.1934 A-964.3859 B-912.6840 C-433.4263
X9.9997 Y22.8510 Z49.4439 A-874.8541 B-836.1382 C-386.3780
X10.0015 Y22.8520 Z49.4441 A0.0000 B0.0000 C0.0000
