X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000
X42.6290:-0.0035 Y36.8861:-0.0046 Z4.9413:-0.0058
X42.6287:-0.0104 Y36.8857:-0.0137 Z4.9408:-0.0173
X42.6279:-0.0233 Y36.8846:-0.0308 Z4.9394:-0.0388
X42.6263:-0.0414 Y36.8825:-0.0547 Z4.9368:-0.0690
X42.6237:-0.0647 Y36.8790:-0.0854 Z4.9324:-0.1077
X42.6198:-0.0931 Y36.8739:-0.1229 Z4.9259:-0.1550
X42.6143:-0.1266 Y36.8666:-0.1672 Z4.9167:-0.2107
X42.6070:-0.1652 Y36.8570:-0.2181 Z4.9046:-0.2747
X42.5977:-0.2089 Y36.8447:-0.2758 Z4.8891:-0.3471
X42.5861:-0.2576 Y36.8293:-0.3401 Z4.8698:-0.4278
X42.5719:-0.3114 Y36.8106:-0.4111 Z4.8462:-0.5165
X42.5548:-0.3702 Y36.7881:-0.4887 Z4.8180:-0.6132
X42.5347:-0.4341 Y36.7616:-0.5729 Z4.7848:-0.7178
X42.5113:-0.5029 Y36.7307:-0.6636 Z4.7461:-0.8301
X42.4844:-0.5768 Y36.6951:-0.7609 Z4.7016:-0.9499
X42.4536:-0.6556 Y36.6545:-0.8647 Z4.6510:-1.0771
X42.4187:-0.7394 Y36.6086:-0.9750 Z4.5938:-1.2115
X42.3796:-0.8283 Y36.5569:-1.0918 Z4.5297:-1.3528
X42.3358:-0.9221 Y36.4993:-1.2151 Z4.4584:-1.5008
X42.2873:-1.0210 Y36.4353:-1.3449 Z4.3795:-1.6553
X42.2336:-1.1249 Y36.3647:-1.4811 Z4.2928:-1.8160
X42.1747:-1.2339 Y36.2871:-1.6238 Z4.1978:-1.9826
X42.1102:-1.3480 Y36.2022:-1.7731 Z4.0944:-2.1548
X42.0398:-1.4672 Y36.1097:-1.9288 Z3.9823:-2.3323
X41.9634:-1.5916 Y36.0092:-2.0910 Z3.8611:-2.5148
X41.8806:-1.7212 Y35.9004:-2.2598 Z3.7307:-2.7019
X41.7912:-1.8560 Y35.7831:-2.4351 Z3.5909:-2.8932
X41.6949:-1.9962 Y35.6568:-2.6169 Z3.4413:-3.0882
X41.5914:-2.1418 Y35.5213:-2.8054 Z3.2820:-3.2867
X41.4806:-2.2929 Y35.3762:-3.0005 Z3.1126:-3.4881
X41.3621:-2.4494 Y35.2211:-3.2023 Z2.9331:-3.6919
X41.2356:-2.6116 Y35.0558:-3.4106 Z2.7434:-3.8976
X41.1008:-2.7794 Y34.8800:-3.6257 Z2.5433:-4.1048
X40.9575:-2.9530 Y34.6932:-3.8475 Z2.3329:-4.3129
X40.8054:-3.1324 Y34.4951:-4.0760 Z2.1120:-4.5213
X40.6442:-3.3178 Y34.2854:-4.3111 Z1.8808:-4.7294
X40.4735:-3.5091 Y34.0639:-4.5530 Z1.6391:-4.9365
X40.2932:-3.7065 Y33.8300:-4.8015 Z1.3871:-5.1420
X40.1028:-3.9101 Y33.5836:-5.0567 Z1.1250:-5.3453
X39.9020:-4.1200 Y33.3243:-5.3184 Z0.8527:-5.5455
X39.6907:-4.3361 Y33.0517:-5.5867 Z0.5705:-5.7420
X39.4683:-4.5587 Y32.7655:-5.8613 Z0.2785:-5.9340
X39.2347:-4.7878 Y32.4654:-6.1423 Z-0.0228:-6.1205
X38.9894:-5.0235 Y32.1512:-6.4294 Z-0.3334:-6.3009
X38.7322:-5.2658 Y31.8224:-6.7226 Z-0.6528:-6.4741
X38.4627:-5.5147 Y31.4788:-7.0215 Z-0.9807:-6.6392
X38.1806:-5.7705 Y31.1201:-7.3259 Z-1.3166:-6.7954
X37.8856:-6.0330 Y30.7461:-7.6356 Z-1.6601:-6.9415
X37.5772:-6.3023 Y30.3565:-7.9502 Z-2.0106:-7.0766
X37.2552:-6.5784 Y29.9510:-8.2694 Z-2.3675:-7.1994
X36.9193:-6.8614 Y29.5295:-8.5926 Z-2.7303:-7.3090
X36.5690:-7.1513 Y29.0917:-8.9195 Z-3.0982:-7.4042
X36.2040:-7.4479 Y28.6375:-9.2493 Z-3.4704:-7.4837
X35.8241:-7.7514 Y28.1667:-9.5816 Z-3.8463:-7.5462
