X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000
X42.5965:-2.5639 Y36.8552:-2.4272 Z4.9662:1.9635
X42.3727:-7.5945 Y36.6434:-7.1726 Z5.1377:5.8372
X41.7872:-16.2852 Y36.0955:-15.1189 Z5.5940:12.8351
X40.7108:-27.0192 Y35.1121:-24.2961 Z6.4612:22.2436
X39.0728:-38.5148 Y33.6757:-32.8868 Z7.8532:33.7793
X36.8692:-49.4034 Y31.8623:-39.0664 Z9.8656:46.9632
X34.1629:-58.4226 Y29.8294:-41.4873 Z12.5612:60.9230
X31.0737:-64.5742 Y27.7817:-39.6653 Z15.9470:74.2873
X27.7626:-67.2283 Y25.9231:-34.1024 Z19.9509:85.3097
X24.4113:-66.1834 Y24.4113:-26.0883 Z24.4113:92.2524
X21.2007:-61.6863 Y23.3279:-17.2721 Z29.0898:93.8797
X18.2884:-54.3993 Y22.6731:-9.1910 Z33.7068:89.8105
X15.7909:-45.2864 Y22.3802:-2.9243 Z37.9867:80.5742
X13.7725:-35.4240 Y22.3440:1.0553 Z41.7000:67.4143
X12.2452:-25.7920 Y22.4505:2.8505 Z44.6910:51.9976
X11.1777:-17.1339 Y22.6019:2.9823 Z46.8924:36.1495
X10.5079:-9.9410 Y22.7329:2.1696 Z48.3278:21.6478
X10.1541:-4.5341 Y22.8142:1.1061 Z49.1048:10.0570
X10.0208:-1.5257 Y22.8471:0.3778 Z49.4010:3.3932
X10.0015:0.0000 Y22.8520:0.0000 Z49.4441:0.0000
