X35.9298:0.0000 Y35.9298:0.0000 Z35.9298:0.0000
X35.8910:-3.0620 Y35.8910:-3.0620 Z35.8910:-3.0620
X35.6236:-9.0697 Y35.6236:-9.0697 Z35.6236:-9.0697
X34.9241:-19.4572 Y34.9241:-19.4572 Z34.9241:-19.4572
X33.6371:-32.3304 Y33.6371:-32.3304 Z33.6371:-32.3304
X31.6734:-46.2668 Y31.6734:-46.2668 Z31.6734:-46.2668
X29.0157:-59.8531 Y29.0157:-59.8531 Z29.0157:-59.8531
X25.7126:-71.9140 Y25.7126:-71.9140 Z25.7126:-71.9140
X21.8626:-81.6249 Y21.8626:-81.6249 Z21.8626:-81.6249
X17.5968:-88.4925 Y17.5968:-88.4925 Z17.5968:-88.4925
X13.0649:-92.2491 Y13.0649:-92.2491 Z13.0649:-92.2491
X8.4266:-92.7233 Y8.4266:-92.7233 Z8.4266:-92.7233
X3.8502:-89.7401 Y3.8502:-89.7401 Z3.8502:-89.7401
X-0.4869:-83.1055 Y-0.4869:-83.1055 Z-0.4869:-83.1055
X-4.3993:-72.7368 Y-4.3993:-72.7368 Z-4.3993:-72.7368
X-7.7060:-58.9667 Y-7.7060:-58.9667 Z-7.7060:-58.9667
X-10.2603:-42.9136 Y-10.2603:-42.9136 Z-10.2603:-42.9136
X-11.9946:-26.6139 Y-11.9946:-26.6139 Z-11.9946:-26.6139
X-12.9597:-12.6343 Y-12.9597:-12.6343 Z-12.9597:-12.6343
X-13.3330:-4.2786 Y-13.3330:-4.2786 Z-13.3330:-4.2786
X-13.3876:0.0000 Y-13.3876:0.0000 Z-13.3876:0.0000
