X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000
X42.2873:-27.2704 Y36.4353:-35.6191 Z4.3795:-40.8870
X39.9020:-82.9777 Y33.3243:-109.5132 Z0.8527:-114.2590
X33.2106:-199.1852 Y24.9916:-238.0047 Z-6.1220:-145.9441
X19.8027:-347.6941 Y11.0449:-271.7482 Z-10.5152:56.7761
X1.0034:-325.2509 Y1.0034:-67.9947 Z1.0034:381.3634
X-9.1392:-31.5171 Y4.4673:147.8685 Z23.7900:417.9379
X-3.1741:178.4950 Y13.1678:166.5854 Z39.5012:225.3479
X5.2932:135.2949 Y19.6391:92.7999 Z46.7042:85.3438
X9.3657:47.0832 Y22.4259:32.1293 Z49.1087:27.3986
X10.0015:0.0000 Y22.8520:0.0000 Z49.4441:0.0000
