X42.6291 Y36.8862 Z4.9414
X42.6290 Y36.8861 Z4.9413
X42.6287 Y36.8857 Z4.9408
X42.6279 Y36.8846 Z4.9394
X42.6263 Y36.8825 Z4.9368
X42.6237 Y36.8790 Z4.9324
X42.6198 Y36.8739 Z4.9259
X42.6143 Y36.8666 Z4.9167
X42.6070 Y36.8570 Z4.9046
X42.5977 Y36.8447 Z4.8891
X42.5861 Y36.8293 Z4.8698
X42.5719 Y36.8106 Z4.8462
X42.5548 Y36.7881 Z4.8180
X42.5347 Y36.7616 Z4.7848
X42.5113 Y36.7307 Z4.7461
X42.4844 Y36.6951 Z4.7016
X42.4536 Y36.6545 Z4.6510
X42.4187 Y36.6086 Z4.5938
X42.3796 Y36.5569 Z4.5297
X42.3358 Y36.4993 Z4.4584
X42.2873 Y36.4353 Z4.3795
X42.2336 Y36.3647 Z4.2928
X42.1747 Y36.2871 Z4.1978
X42.1102 Y36.2022 Z4.0944
X42.0398 Y36.1097 Z3.9823
X41.9634 Y36.0092 Z3.8611
X41.8806 Y35.9004 Z3.7307
X41.7912 Y35.7831 Z3.5909
X41.6949 Y35.6568 Z3.4413
X41.5914 Y35.5213 Z3.2820
X41.4806 Y35.3762 Z3.1126
X41.3621 Y35.2211 Z2.9331
X41.2356 Y35.0558 Z2.7434
X41.1008 Y34.8800 Z2.5433
X40.9575 Y34.6932 Z2.3329
X40.8054 Y34.4951 Z2.1120
X40.6442 Y34.2854 Z1.8808
X40.4735 Y34.0639 Z1.6391
X40.2932 Y33.8300 Z1.3871
X40.1028 Y33.5836 Z1.1250
X39.9020 Y33.3243 Z0.8527
X39.6907 Y33.0517 Z0.5705
X39.4683 Y32.7655 Z0.2785
X39.2347 Y32.4654 Z-0.0228
X38.9894 Y32.1512 Z-0.3334
X38.7322 Y31.8224 Z-0.6528
X38.4627 Y31.4788 Z-0.9807
X38.1806 Y31.1201 Z-1.3166
X37.8856 Y30.7461 Z-1.6601
X37.5772 Y30.3565 Z-2.0106
X37.2552 Y29.9510 Z-2.3675
X36.9193 Y29.5295 Z-2.7303
X36.5690 Y29.0917 Z-3.0982
X36.2040 Y28.6375 Z-3.4704
X35.8241 Y28.1667 Z-3.8463
X35.4288 Y27.6793 Z-4.2248
X35.0178 Y27.1752 Z-4.6050
X34.5908 Y26.6543 Z-4.9859
X34.1475 Y26.1167 Z-5.3665
