X35.9298 Y35.9298 Z35.9298
X35.9295 Y35.9295 Z35.9295
X35.9273 Y35.9273 Z35.9273
X35.9214 Y35.9214 Z35.9214
X35.9099 Y35.9099 Z35.9099
X35.8910 Y35.8910 Z35.8910
X35.8628 Y35.8628 Z35.8628
X35.8237 Y35.8237 Z35.8237
X35.7719 Y35.7719 Z35.7719
X35.7057 Y35.7057 Z35.7057
X35.6236 Y35.6236 Z35.6236
X35.5241 Y35.5241 Z35.5241
X35.4057 Y35.4057 Z35.4057
X35.2671 Y35.2671 Z35.2671
X35.1069 Y35.1069 Z35.1069
X34.9241 Y34.9241 Z34.9241
X34.7176 Y34.7176 Z34.7176
X34.4865 Y34.4865 Z34.4865
X34.2298 Y34.2298 Z34.2298
X33.9469 Y33.9469 Z33.9469
X33.6371 Y33.6371 Z33.6371
X33.3001 Y33.3001 Z33.3001
X32.9354 Y32.9354 Z32.9354
X32.5428 Y32.5428 Z32.5428
X32.1221 Y32.1221 Z32.1221
X31.6734 Y31.6734 Z31.6734
X31.1967 Y31.1967 Z31.1967
X30.6922 Y30.6922 Z30.6922
X30.1602 Y30.1602 Z30.1602
X29.6012 Y29.6012 Z29.6012
X29.0157 Y29.0157 Z29.0157
X28.4042 Y28.4042 Z28.4042
X27.7673 Y27.7673 Z27.7673
X27.1059 Y27.1059 Z27.1059
X26.4207 Y26.4207 Z26.4207
X25.7126 Y25.7126 Z25.7126
X24.9825 Y24.9825 Z24.9825
X24.2314 Y24.2314 Z24.2314
X23.4603 Y23.4603 Z23.4603
X22.6704 Y22.6704 Z22.6704
X21.8626 Y21.8626 Z21.8626
X21.0381 Y21.0381 Z21.0381
X20.1981 Y20.1981 Z20.1981
X19.3437 Y19.3437 Z19.3437
X18.4763 Y18.4763 Z18.4763
X17.5968 Y17.5968 Z17.5968
X16.7068 Y16.7068 Z16.7068
X15.8072 Y15.8072 Z15.8072
X14.8996 Y14.8996 Z14.8996
X13.9850 Y13.9850 Z13.9850
X13.0649 Y13.0649 Z13.0649
X12.1405 Y12.1405 Z12.1405
X11.2131 Y11.2131 Z11.2131
X10.2841 Y10.2841 Z10.2841
X9.3548 Y9.3548 Z9.3548
X8.4266 Y8.4266 Z8.4266
X7.5008 Y7.5008 Z7.5008
X6.5789 Y6.5789 Z6.5789
X5.6622 Y5.6622 Z5.6622
X4.7521 Y4.7521 Z4.7521
X3.8502 Y3.8502 Z3.8502
X2.9578 Y2.9578 Z2.9578
X2.0763 Y2.0763 Z2.0763
X1.2074 Y1.2074 Z1.2074
X0.3525 Y0.3525 Z0.3525
X-0.4869 Y-0.4869 Z-0.4869
X-1.3094 Y-1.3094 Z-1.3094
X-2.1133 Y-2.1133 Z-2.1133
X-2.8973 Y-2.8973 Z-2.8973
X-3.6598 Y-3.6598 Z-3.6598
X-4.3993 Y-4.3993 Z-4.3993
X-5.1146 Y-5.1146 Z-5.1146
X-5.8041 Y-5.8041 Z-5.8041
X-6.4667 Y-6.4667 Z-6.4667
X-7.1010 Y-7.1010 Z-7.1010
X-7.7060 Y-7.7060 Z-7.7060
X-8.2806 Y-8.2806 Z-8.2806
X-8.8241 Y-8.8241 Z-8.8241
X-9.3355 Y-9.3355 Z-9.3355
X-9.8144 Y-9.8144 Z-9.8144
X-10.2603 Y-10.2603 Z-10.2603
X-10.6730 Y-10.6730 Z-10.6730
X-11.0525 Y-11.0525 Z-11.0525
X-11.3989 Y-11.3989 Z-11.3989
X-11.7128 Y-11.7128 Z-11.7128
X-11.9946 Y-11.9946 Z-11.9946
X-12.2452 Y-12.2452 Z-12.2452
X-12.4656 Y-12.4656 Z-12.4656
X-12.6572 Y-12.6572 Z-12.6572
X-12.8214 Y-12.8214 Z-12.8214
X-12.9597 Y-12.9597 Z-12.9597
X-13.0741 Y-13.0741 Z-13.0741
X-13.1664 Y-13.1664 Z-13.1664
X-13.2388 Y-13.2388 Z-13.2388
X-13.2936 Y-13.2936 Z-13.2936
X-13.3330 Y-13.3330 Z-13.3330
X-13.3596 Y-13.3596 Z-13.3596
X-13.3757 Y-13.3757 Z-13.3757
X-13.3841 Y-13.3841 Z-13.3841
X-13.3871 Y-13.3871 Z-13.3871
X-13.3876 Y-13.3876 Z-13.3876
