X13.0649 Y13.0649 Z13.0649
X13.0743 Y13.0743 Z13.0743
X13.1393 Y13.1393 Z13.1393
X13.3097 Y13.3097 Z13.3097
X13.6249 Y13.6249 Z13.6249
X14.1098 Y14.1098 Z14.1098
X14.7720 Y14.7720 Z14.7720
X15.6014 Y15.6014 Z15.6014
X16.5718 Y16.5718 Z16.5718
X17.6432 Y17.6432 Z17.6432
X18.7664 Y18.7664 Z18.7664
X19.8874 Y19.8874 Z19.8874
X20.9527 Y20.9527 Z20.9527
X21.9141 Y21.9141 Z21.9141
X22.7332 Y22.7332 Z22.7332
X23.3854 Y23.3854 Z23.3854
X23.8619 Y23.8619 Z23.8619
X24.1713 Y24.1713 Z24.1713
X24.3384 Y24.3384 Z24.3384
X24.4021 Y24.4021 Z24.4021
X24.4113 Y24.4113 Z24.4113
