X42.6291 Y36.8862 Z4.9414
X42.6237 Y36.8790 Z4.9324
X42.5861 Y36.8293 Z4.8698
X42.4844 Y36.6951 Z4.7016
X42.2873 Y36.4353 Z4.3795
X41.9634 Y36.0092 Z3.8611
X41.4806 Y35.3762 Z3.1126
X40.8054 Y34.4951 Z2.1120
X39.9020 Y33.3243 Z0.8527
X38.7322 Y31.8224 Z-0.6528
X37.2552 Y29.9510 Z-2.3675
X35.4288 Y27.6793 Z-4.2248
X33.2106 Y24.9916 Z-6.1220
X30.5616 Y21.8993 Z-7.9143
X27.4503 Y18.4560 Z-9.4095
X23.8605 Y14.7755 Z-10.3681
X19.8027 Y11.0449 Z-10.5152
X15.3299 Y7.5231 Z-9.5753
X10.5580 Y4.5088 Z-7.3405
X5.6859 Y2.2767 Z-3.7585
X1.0034 Y1.0034 Z1.0034
X-3.1294 Y0.7226 Z6.5763
X-6.3478 Y1.3340 Z12.4973
X-8.3814 Y2.6531 Z18.3389
X-9.1392 Y4.4673 Z23.7900
X-8.7276 Y6.5763 Z28.6714
X-7.3953 Y8.8113 Z32.9109
X-5.4471 Y11.0407 Z36.5075
X-3.1741 Y13.1678 Z39.5012
X-0.8152 Y15.1252 Z41.9516
X1.4530 Y16.8696 Z43.9255
X3.5123 Y18.3772 Z45.4890
X5.2932 Y19.6391 Z46.7042
X6.7634 Y20.6586 Z47.6273
X7.9188 Y21.4484 Z48.3076
X8.7758 Y22.0288 Z48.7886
X9.3657 Y22.4259 Z49.1087
X9.7306 Y22.6707 Z49.3024
X9.9207 Y22.7980 Z49.4020
X9.9914 Y22.8452 Z49.4388
X10.0015 Y22.8520 Z49.4441
