X30.2128 Y70.9213 Z0.5234
X30.1880 Y70.9039 Z0.4721
X30.0143 Y70.7751 Z0.1204
X29.5315 Y70.3665 Z-0.7872
X28.5379 Y69.3405 Z-2.3930
X26.7763 Y67.0831 Z-4.6025
X24.0069 Y62.6973 Z-6.8556
X20.2364 Y55.1793 Z-7.8337
X16.0683 Y43.8221 Z-5.5063
X12.9683 Y28.9631 Z1.6909
X13.0649 Y13.0649 Z13.0649
X17.9252 Y0.4180 Z25.9527
X26.7056 Y-6.3852 Z37.7965
X36.3526 Y-8.3385 Z47.1704
X44.1820 Y-7.7165 Z53.6804
X49.3126 Y-6.2108 Z57.6490
X52.1684 Y-4.7166 Z59.7730
X53.5597 Y-3.6099 Z60.7763
X54.1524 Y-2.9739 Z61.1916
X54.3484 Y-2.7251 Z61.3262
X54.3755 Y-2.6887 Z61.3446
