X30.2128 Y70.9213 Z0.5234
X30.1811 Y70.8402 Z0.5431
X29.9650 Y70.2821 Z0.6812
X29.4143 Y68.8196 Z1.0642
X28.4572 Y66.1216 Z1.8484
X27.1389 Y61.9893 Z3.2351
X25.6360 Y56.3796 Z5.4498
X24.2409 Y49.4180 Z8.6815
X23.3228 Y41.4128 Z13.0043
X23.2697 Y32.8611 Z18.3290
X24.4113 Y24.4113 Z24.4113
X26.9236 Y16.7403 Z30.9060
X30.7362 Y10.3683 Z37.4313
X35.4927 Y5.5193 Z43.6168
X40.6082 Y2.1191 Z49.1328
X45.4190 Y-0.0931 Z53.7133
X49.3638 Y-1.4321 Z57.1854
X52.1243 Y-2.1773 Z59.5052
X53.6815 Y-2.5394 Z60.7820
X54.2870 Y-2.6700 Z61.2731
X54.3755 Y-2.6887 Z61.3446
