X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000
X42.6275:-0.1277 Y36.8841:-0.1687 Z4.9387:-0.2127
X42.6163:-0.3828 Y36.8693:-0.5056 Z4.9201:-0.6373
X42.5861:-0.8587 Y36.8293:-1.1338 Z4.8698:-1.4261
X42.5273:-1.5215 Y36.7518:-2.0080 Z4.7725:-2.5148
X42.4308:-2.3697 Y36.6245:-3.1251 Z4.6136:-3.8866
X42.2873:-3.4032 Y36.4353:-4.4829 Z4.3795:-5.5178
X42.0874:-4.6237 Y36.1722:-6.0808 Z4.0580:-7.3784
X41.8217:-6.0349 Y35.8232:-7.9196 Z3.6385:-9.4302
X41.4806:-7.6429 Y35.3762:-10.0017 Z3.1126:-11.6272
X41.0540:-9.4555 Y34.8189:-12.3298 Z2.4743:-13.9141
X40.5315:-11.4822 Y34.1391:-14.9056 Z1.7208:-16.2257
X39.9020:-13.7332 Y33.3243:-17.7283 Z0.8527:-18.4856
X39.1542:-16.2189 Y32.3623:-20.7916 Z-0.1254:-20.6051
X38.2761:-18.9484 Y31.2414:-24.0801 Z-1.2038:-22.4819
X37.2552:-21.9282 Y29.9510:-27.5654 Z-2.3675:-23.9987
X36.0791:-25.1614 Y28.4824:-31.2005 Z-3.5954:-25.0221
X34.7350:-28.6449 Y26.8298:-34.9133 Z-4.8589:-25.4017
X33.2106:-32.3674 Y24.9916:-38.5993 Z-6.1220:-24.9698
X31.4946:-36.3066 Y22.9728:-42.1145 Z-7.3393:-23.5440
X29.5770:-40.4246 Y20.7863:-45.2688 Z-8.4566:-20.9310
X27.4503:-44.6628 Y18.4560:-47.8236 Z-9.4095:-16.9385
X25.1103:-48.9352 Y16.0187:-49.4973 Z-10.1247:-11.3945
X22.5583:-53.1200 Y13.5261:-49.9833 Z-10.5214:-4.1808
X19.8027:-57.0507 Y11.0449:-48.9861 Z-10.5152:4.7185
X16.8613:-60.5079 Y8.6557:-46.2751 Z-10.0246:15.1548
X13.7646:-63.2140 Y6.4471:-41.7507 Z-8.9809:26.7559
X10.5580:-64.8372 Y4.5088:-35.5019 Z-7.3405:38.8959
X7.3050:-65.0090 Y2.9202:-27.8310 Z-5.0966:50.7341
X4.0872:-63.3640 Y1.7410:-19.2249 Z-2.2874:61.3381
X1.0034:-59.6051 Y1.0034:-10.2739 Z1.0034:69.8709
X-1.8363:-53.5882 Y0.7098:-1.5644 Z4.6567:75.7694
X-4.3201:-45.4060 Y0.8352:6.4153 Z8.5342:78.8426
X-6.3478:-35.4366 Y1.3340:13.3295 Z12.4973:79.2542
X-7.8451:-24.3217 Y2.1479:19.0032 Z16.4225:77.4195
X-8.7743:-12.8660 Y3.2133:23.3970 Z20.2107:73.8719
X-9.1392:-1.8842 Y4.4673:26.5683 Z23.7900:69.1501
X-8.9814:7.9430 Y5.8517:28.6321 Z27.1138:63.7273
X-8.3711:16.1596 Y7.3145:29.7314 Z30.1570:57.9804
X-7.3953:22.5514 Y8.8113:30.0155 Z32.9109:52.1883
X-6.1461:27.1091 Y10.3048:29.6281 Z35.3782:46.5442
X-4.7125:29.9671 Y11.7650:28.7008 Z37.5697:41.1733
X-3.1741:31.3419 Y13.1678:27.3506 Z39.5012:36.1503
X-1.5988:31.4836 Y14.4947:25.6795 Z41.1911:31.5139
X-0.0421:30.6434 Y15.7319:23.7757 Z42.6592:27.2777
X1.4530:29.0546 Y16.8696:21.7149 Z43.9255:23.4389
X2.8542:26.9235 Y17.9018:19.5617 Z45.0095:19.9837
X4.1391:24.4266 Y18.8251:17.3714 Z45.9299:16.8915
X5.2932:21.7112 Y19.6391:15.1909 Z46.7042:14.1379
X6.3086:18.8990 Y20.3451:13.0606 Z47.3489:11.6972
X7.1831:16.0889 Y20.9465:11.0147 Z47.8787:9.5433
X7.9188:13.3612 Y21.4484:9.0827 Z48.3076:7.6521
X8.5216:10.7808 Y21.8571:7.2899 Z48.6480:6.0015
X9.0002:8.4003 Y22.1801:5.6581 Z48.9114:4.5729
X9.3657:6.2622 Y22.4259:4.2061 Z49.1087:3.3515
X9.6310:4.4006 Y22.6039:2.9500 Z49.2499:2.3264
X9.8108:2.8430 Y22.7244:1.9033 Z49.3445:1.4905
X9.9207:1.6106 Y22.7980:1.0774 Z49.4020:0.8401
X9.9775:0.7194 Y22.8359:0.4811 Z49.4316:0.3742
X9.9985:0.2401 Y22.8500:0.1606 Z49.4425:0.1249
X10.0015:0.0000 Y22.8520:0.0000 Z49.4441:0.0000
