X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000
X42.6237:-0.8606 Y36.8790:-1.1365 Z4.9324:-1.4315
X42.5861:-2.5758 Y36.8293:-3.4013 Z4.8698:-4.2806
X42.4844:-5.7669 Y36.6951:-7.6086 Z4.7016:-9.5026
X42.2873:-10.2089 Y36.4353:-13.4481 Z4.3795:-16.5566
X41.9634:-15.9146 Y36.0092:-20.9095 Z3.8611:-25.1527
X41.4806:-22.9280 Y35.3762:-30.0056 Z3.1126:-34.8857
X40.8054:-31.3241 Y34.4951:-40.7617 Z2.1120:-45.2188
X39.9020:-41.2002 Y33.3243:-53.1886 Z0.8527:-55.4624
X38.7322:-52.6593 Y31.8224:-67.2337 Z-0.6528:-64.7487
X37.2552:-65.7871 Y29.9510:-82.7065 Z-2.3675:-72.0030
X35.4288:-80.6209 Y27.6793:-99.1733 Z-4.2248:-75.9139
X33.2106:-97.1086 Y24.9916:-115.8165 Z-6.1220:-74.9134
X30.5616:-115.0489 Y21.8993:-131.2702 Z-7.9143:-67.1899
X27.4503:-134.0030 Y18.4560:-143.4799 Z-9.4095:-50.7928
X23.8605:-153.1632 Y14.7755:-149.7087 Z-10.3681:-23.9472
X19.8027:-171.1751 Y11.0449:-146.9056 Z-10.5152:14.2447
X15.3299:-185.9417 Y7.5231:-132.6353 Z-9.5753:62.6241
X10.5580:-194.5091 Y4.5088:-106.4335 Z-7.3405:116.7218
X5.6859:-193.2592 Y2.2767:-70.8073 Z-3.7585:168.6667
X1.0034:-178.7210 Y1.0034:-30.8595 Z1.0034:209.4674
X-3.1294:-149.1414 Y0.7226:7.5609 Z6.5763:232.8460
X-6.3478:-106.2462 Y1.3340:39.9341 Z12.4973:237.7138
X-8.3814:-55.7770 Y2.6531:64.0436 Z18.3389:227.4879
X-9.1392:-5.7401 Y4.4673:79.6931 Z23.7900:207.4878
X-8.7276:36.7238 Y6.5763:87.8786 Z28.6714:182.6614
X-7.3953:67.5960 Y8.8113:90.0511 Z32.9109:156.5925
X-5.4471:86.1915 Y11.0407:87.6788 Z36.5075:131.4743
X-3.1741:94.0245 Y13.1678:82.0574 Z39.5012:108.4612
X-0.8152:93.5223 Y15.1252:74.2598 Z41.9516:88.0425
X1.4530:87.1758 Y16.8696:65.1486 Z43.9255:70.3196
X3.5123:77.1439 Y18.3772:55.4073 Z45.4890:55.1821
X5.2932:65.1427 Y19.6391:45.5752 Z46.7042:42.4138
X6.7634:52.4717 Y20.6586:36.0773 Z47.6273:31.7570
X7.9188:40.0886 Y21.4484:27.2495 Z48.3076:22.9549
X8.7758:28.6919 Y22.0288:19.3590 Z48.7886:15.7799
X9.3657:18.7894 Y22.4259:12.6193 Z49.1087:10.0531
X9.7306:10.7493 Y22.6707:7.2001 Z49.3024:5.6541
X9.9207:4.8337 Y22.7980:3.2333 Z49.4020:2.5195
X9.9914:1.6161 Y22.8452:1.0809 Z49.4388:0.8415
X10.0015:0.0000 Y22.8520:0.0000 Z49.4441:0.0000
