X63.8060:0.0000 Y62.7243:0.0000 Z74.4177:0.0000
X63.8077:0.1387 Y62.7282:0.3073 Z74.4127:-0.3901
X63.8199:0.4120 Y62.7550:0.9118 Z74.3787:-1.1559
X63.8519:0.9000 Y62.8258:1.9779 Z74.2894:-2.4850
X63.9124:1.5428 Y62.9578:3.3492 Z74.1249:-4.1410
X64.0083:2.3089 Y63.1640:4.9236 Z73.8730:-5.9410
X64.1447:3.1581 Y63.4516:6.5835 Z73.5317:-7.6853
X64.3245:4.0365 Y63.8216:8.1983 Z73.1085:-9.1834
X64.5476:4.8731 Y64.2683:9.6284 Z72.6199:-10.2783
X64.8097:5.5823 Y64.7791:10.7330 Z72.0889:-10.8652
X65.1022:6.0739 Y65.3342:11.3838 Z71.5424:-10.9007
X65.4122:6.2687 Y65.9084:11.4842 Z71.0076:-10.4022
X65.7234:6.1166 Y66.4728:10.9890 Z70.5098:-9.4400
X66.0181:5.6111 Y66.9979:9.9205 Z70.0695:-8.1225
X66.2795:4.7976 Y67.4571:8.3761 Z69.7013:-6.5814
X66.4944:3.7704 Y67.8305:6.5210 Z69.4127:-4.9577
X66.6552:2.6592 Y68.1077:4.5690 Z69.2046:-3.3903
X66.7613:1.6079 Y68.2896:2.7512 Z69.0706:-2.0091
X66.8191:0.7511 Y68.3885:1.2822 Z68.9987:-0.9281
X66.8413:0.2536 Y68.4263:0.4328 Z68.9714:-0.3129
X66.8445:0.0000 Y68.4318:0.0000 Z68.9674:0.0000
