X65.9983 Y2.9739 Z65.6985
X65.9116 Y2.8955 Z65.6376
X65.3103 Y2.3599 Z65.2156
X63.6944 Y0.9863 Z64.0835
X60.5622 Y-1.4231 Z61.8953
X55.4024 Y-4.7504 Z58.2967
X47.7881 Y-8.3968 Z52.9427
X37.7414 Y-11.0727 Z45.5805
X26.5217 Y-10.6330 Z36.2536
X17.2107 Y-4.5911 Z25.7074
X13.0823 Y7.5947 Z15.9027
X14.6016 Y22.7291 Z9.7415
X19.7182 Y36.7982 Z8.9826
X26.1591 Y47.9502 Z12.6200
X32.4056 Y56.0532 Z18.2234
X37.6481 Y61.5865 Z23.7862
X41.5573 Y65.1297 Z28.2382
X44.1123 Y67.2079 Z31.2364
X45.4943 Y68.2577 Z32.8782
X46.0208 Y68.6443 Z33.5064
X46.0973 Y68.6998 Z33.5978
