X65.9983 Y2.9739 Z65.6985
X65.9354 Y3.0029 Z65.6459
X65.5057 Y3.2034 Z65.2852
X64.3991 Y3.7424 Z64.3507
X62.4321 Y4.7876 Z62.6666
X59.6069 Y6.5158 Z60.1824
X56.1308 Y9.1084 Z56.9815
X52.3770 Y12.7223 Z53.2601
X48.7939 Y17.4369 Z49.2884
X45.7895 Y23.1960 Z45.3676
X43.6373 Y29.7762 Z41.7860
X42.4313 Y36.8085 Z38.7766
X42.0972 Y43.8481 Z36.4807
X42.4385 Y50.4564 Z34.9255
X43.1962 Y56.2636 Z34.0266
X44.1052 Y61.0047 Z33.6193
X44.9433 Y64.5402 Z33.5098
X45.5680 Y66.8710 Z33.5300
X45.9323 Y68.1423 Z33.5723
X46.0762 Y68.6290 Z33.5943
X46.0973 Y68.6998 Z33.5978
