X17.4009 Y44.0472 Z59.2847
X17.4354 Y44.0655 Z59.2601
X17.6733 Y44.1921 Z59.0908
X18.2989 Y44.5304 Z58.6509
X19.4613 Y45.1799 Z57.8538
X21.2624 Y46.2390 Z56.6720
X23.7497 Y47.8042 Z55.1485
X26.9154 Y49.9618 Z53.3975
X30.6998 Y52.7712 Z51.5883
X35.0000 Y56.2456 Z49.9164
X39.6787 Y60.3351 Z48.5633
X44.5733 Y64.9194 Z47.6584
X49.5014 Y69.8100 Z47.2511
X54.2636 Y74.7623 Z47.3022
X58.6471 Y79.4920 Z47.6956
X62.4341 Y83.6984 Z48.2676
X65.4286 Y87.1017 Z48.8482
X67.5075 Y89.5066 Z49.3067
X68.6845 Y90.8849 Z49.5832
X69.1442 Y91.4268 Z49.6941
X69.2115 Y91.5064 Z49.7104
