X17.4009 Y44.0472 Z59.2847
X17.3232 Y43.9202 Z59.1407
X16.7975 Y43.0515 Z58.1517
X15.4934 Y40.8134 Z55.5707
X13.3801 Y36.8275 Z50.8377
X10.9404 Y31.0872 Z43.6252
X9.3339 Y24.0729 Z33.8668
X10.2478 Y16.9498 Z21.9324
X14.9203 Y11.9066 Z9.1630
X22.6977 Y12.1102 Z-1.6222
X31.3493 Y19.5569 Z-7.2367
X39.1006 Y32.0116 Z-6.5218
X45.5225 Y45.2762 Z-0.5920
X50.9610 Y57.1209 Z8.6078
X55.8072 Y67.1576 Z19.1486
X60.1740 Y75.5095 Z29.3802
X63.9030 Y82.2121 Z38.0445
X66.7143 Y87.1263 Z44.3438
X68.4168 Y90.1028 Z48.0279
X69.1087 Y91.3240 Z49.4942
X69.2115 Y91.5064 Z49.7104
