X76.1356 Y9.6685 Z74.8469
X76.0761 Y9.6695 Z74.7901
X75.6688 Y9.6766 Z74.4007
X74.6191 Y9.7027 Z73.3903
X72.7472 Y9.7784 Z71.5614
X70.0352 Y9.9650 Z68.8389
X66.6318 Y10.3596 Z65.2693
X62.8126 Y11.0859 Z60.9941
X58.9113 Y12.2714 Z56.2131
X55.2477 Y14.0120 Z51.1551
X52.0698 Y16.3329 Z46.0570
X49.5209 Y19.1599 Z41.1479
X47.6342 Y22.3143 Z36.6337
X46.3517 Y25.5407 Z32.6817
X45.5567 Y28.5610 Z29.4063
X45.1115 Y31.1339 Z26.8613
X44.8880 Y33.1029 Z25.0383
X44.7879 Y34.4196 Z23.8719
X44.7484 Y35.1427 Z23.2478
X44.7360 Y35.4203 Z23.0112
X44.7343 Y35.4607 Z22.9769
