X76.1356 Y9.6685 Z74.8469
X76.1244 Y9.6719 Z74.8476
X76.0409 Y9.6955 Z74.8463
X75.7677 Y9.7585 Z74.7919
X75.0578 Y9.8801 Z74.4984
X73.4704 Y10.0833 Z73.5753
X70.4487 Y10.4172 Z71.4682
X65.6501 Y11.0141 Z67.6743
X59.4039 Y12.1617 Z62.0385
X52.8471 Y14.2736 Z54.9143
X47.4047 Y17.6319 Z47.0960
X43.9648 Y22.0129 Z39.5863
X42.5008 Y26.6170 Z33.2769
X42.3760 Y30.5120 Z28.6567
X42.8765 Y33.1744 Z25.7207
X43.5165 Y34.6351 Z24.1152
X44.0616 Y35.2563 Z23.3725
X44.4363 Y35.4405 Z23.0886
X44.6432 Y35.4660 Z23.0008
X44.7227 Y35.4620 Z22.9794
X44.7343 Y35.4607 Z22.9769
