X39.7976 Y17.1898 Z43.6027
X39.7845 Y17.1918 Z43.5630
X39.6950 Y17.2062 Z43.2899
X39.4658 Y17.2487 Z42.5729
X39.0632 Y17.3453 Z41.2455
X38.4977 Y17.5403 Z39.2011
X37.8282 Y17.9002 Z36.4021
X37.1517 Y18.5094 Z32.8828
X36.5817 Y19.4561 Z28.7449
X36.2194 Y20.8096 Z24.1500
X36.1287 Y22.5924 Z19.3073
X36.3223 Y24.7578 Z14.4565
X36.7601 Y27.1819 Z9.8438
X37.3611 Y29.6783 Z5.6932
X38.0235 Y32.0342 Z2.1786
X38.6480 Y34.0573 Z-0.5968
X39.1580 Y35.6160 Z-2.6078
X39.5132 Y36.6633 Z-3.9041
X39.7130 Y37.2403 Z-4.6008
X39.7905 Y37.4621 Z-4.8655
X39.8018 Y37.4945 Z-4.9040
