X39.7976 Y17.1898 Z43.6027
X39.7389 Y17.1627 Z43.5879
X39.3331 Y16.9772 Z43.4824
X38.2535 Y16.4986 Z43.1752
X36.2065 Y15.6470 Z42.4911
X32.9679 Y14.4335 Z41.1458
X28.4903 Y13.0001 Z38.7364
X23.1140 Y11.6570 Z34.7975
X17.7915 Y10.8965 Z28.9374
X14.0167 Y11.3272 Z21.0804
X13.1378 Y13.4400 Z11.8357
X15.4222 Y17.2314 Z2.7695
X19.9008 Y22.0197 Z-4.1187
X25.1394 Y26.7932 Z-7.7714
X30.0073 Y30.7803 Z-8.6614
X33.9166 Y33.6897 Z-7.9935
X36.7089 Y35.5907 Z-6.8341
X38.4705 Y36.7034 Z-5.8183
X39.4009 Y37.2610 Z-5.1927
X39.7511 Y37.4652 Z-4.9411
X39.8018 Y37.4945 Z-4.9040
