X44.4429 Y14.2407 Z13.8656
X44.4575 Y14.2728 Z13.8607
X44.5581 Y14.4940 Z13.8272
X44.8228 Y15.0758 Z13.7412
X45.3158 Y16.1572 Z13.5891
X46.0822 Y17.8332 Z13.3727
X47.1455 Y20.1461 Z13.1118
X48.5051 Y23.0810 Z12.8415
X50.1367 Y26.5651 Z12.6053
X51.9924 Y30.4726 Z12.4450
X54.0034 Y34.6348 Z12.3900
X56.0833 Y38.8558 Z12.4504
X58.1341 Y42.9304 Z12.6143
X60.0535 Y46.6636 Z12.8512
X61.7459 Y49.8898 Z13.1196
X63.1346 Y52.4909 Z13.3772
X64.1744 Y54.4114 Z13.5900
X64.8616 Y55.6678 Z13.7393
X65.2369 Y56.3496 Z13.8237
X65.3806 Y56.6099 Z13.8564
X65.4015 Y56.6478 Z13.8612
