X44.4429 Y14.2407 Z13.8656
X44.4041 Y14.2299 Z13.8030
X44.1396 Y14.1599 Z13.3713
X43.4651 Y14.0161 Z12.2287
X42.2976 Y13.9060 Z10.0841
X40.7307 Y14.1474 Z6.7362
X39.1011 Y15.3039 Z2.1694
X37.9851 Y18.0585 Z-3.2657
X38.0343 Y22.8242 Z-8.6498
X39.6578 Y29.2642 Z-12.5560
X42.7700 Y36.2939 Z-13.7021
X46.8484 Y42.7258 Z-11.7919
X51.2226 Y47.8564 Z-7.6164
X55.3275 Y51.5307 Z-2.4252
X58.8010 Y53.9233 Z2.6773
X61.4793 Y55.3366 Z6.9844
X63.3553 Y56.0877 Z10.1854
X64.5250 Y56.4443 Z12.2616
X65.1384 Y56.5928 Z13.3768
X65.3683 Y56.6411 Z13.7998
X65.4015 Y56.6478 Z13.8612
