X28.3718 Y22.3095 Z50.9227
X28.3870 Y22.3193 Z50.8701
X28.4931 Y22.3875 Z50.5082
X28.7812 Y22.5782 Z49.5619
X29.3500 Y22.9758 Z47.8240
X30.3118 Y23.7030 Z45.1858
X31.7857 Y24.9282 Z41.6578
X33.8746 Y26.8541 Z37.3777
X36.6358 Y29.6807 Z32.6023
X40.0574 Y33.5480 Z27.6758
X44.0508 Y38.4707 Z22.9730
X48.4573 Y44.2911 Z18.8232
X53.0641 Y50.6756 Z15.4418
X57.6221 Y57.1628 Z12.8976
X61.8648 Y63.2484 Z11.1284
X65.5332 Y68.4779 Z9.9896
X68.4147 Y72.5287 Z9.3113
X70.3946 Y75.2696 Z8.9413
X71.5050 Y76.7884 Z8.7646
X71.9363 Y77.3743 Z8.7016
X71.9993 Y77.4598 Z8.6926
