X11.7516 Y59.9949 Z23.8950
X11.7009 Y59.8948 Z23.7777
X11.3567 Y59.2044 Z22.9787
X10.4902 Y57.3813 Z20.9502
X9.0360 Y53.9637 Z17.4802
X7.2143 Y48.5948 Z12.9550
X5.6521 Y41.0802 Z8.5964
X5.4294 Y31.6042 Z6.3467
X7.8162 Y21.2798 Z7.9086
X13.4183 Y12.7278 Z13.4206
X21.3216 Y9.1097 Z21.4587
X29.6870 Y11.4916 Z30.3308
X37.1718 Y18.3035 Z38.9452
X43.3345 Y27.1730 Z46.7986
X48.2074 Y36.1807 Z53.6601
X51.9178 Y44.0908 Z59.3572
X54.5737 Y50.2358 Z63.7330
X56.2852 Y54.3894 Z66.7091
X57.2078 Y56.6893 Z68.3720
X57.5592 Y57.5764 Z69.0172
X57.6102 Y57.7058 Z69.1116
