X11.7516 Y59.9949 Z23.8950
X11.7740 Y59.9777 Z23.9302
X11.9288 Y59.8593 Z24.1719
X12.3403 Y59.5534 Z24.8046
X13.1221 Y59.0061 Z25.9694
X14.3760 Y58.2116 Z27.7489
X16.1892 Y57.2217 Z30.1620
X18.6251 Y56.1411 Z33.1704
X21.7084 Y55.1102 Z36.6911
X25.4094 Y54.2757 Z40.6099
X29.6336 Y53.7591 Z44.7913
X34.2200 Y53.6280 Z49.0839
X38.9510 Y53.8819 Z53.3231
X43.5702 Y54.4519 Z57.3335
X47.8082 Y55.2155 Z60.9358
X51.4156 Y56.0243 Z63.9625
X54.2049 Y56.7390 Z66.2863
X56.0955 Y57.2637 Z67.8559
X57.1454 Y57.5682 Z68.7264
X57.5510 Y57.6882 Z69.0625
X57.6102 Y57.7058 Z69.1116
