X49.6034 Y59.9013 Z28.9048
X49.5254 Y59.7991 Z28.7627
X48.9908 Y59.0974 Z27.7891
X47.6063 Y57.2663 Z25.2691
X45.1088 Y53.9084 Z20.7422
X41.4034 Y48.7841 Z14.1379
X36.5374 Y41.7861 Z5.9015
X30.6115 Y32.9194 Z-2.8586
X23.6807 Y22.4683 Z-10.1833
X15.8179 Y11.6594 Z-13.2243
X7.6119 Y3.4596 Z-9.3016
X0.9237 Y1.0140 Z1.2018
X-1.7051 Y4.2325 Z14.3477
X0.3928 Y10.5670 Z26.6369
X5.4072 Y17.6904 Z36.7532
X11.0891 Y24.1843 Z44.5306
X15.9733 Y29.3097 Z50.1074
X19.4148 Y32.7952 Z53.7064
X21.3514 Y34.7280 Z55.6500
X22.1025 Y35.4736 Z56.3911
X22.2123 Y35.5823 Z56.4988
