X32.6246 Y57.6969 Z26.6061
X32.6221 Y57.6265 Z26.5786
X32.6042 Y57.1412 Z26.3922
X32.5544 Y55.8610 Z25.9263
X32.4509 Y53.4735 Z25.1539
X32.2598 Y49.7808 Z24.1889
X31.9191 Y44.7857 Z23.2850
X31.3018 Y38.8220 Z22.7467
X30.1692 Y32.6735 Z22.7705
X28.1944 Y27.5343 Z23.3265
X25.1605 Y24.6467 Z24.2083
X21.2801 Y24.7132 Z25.2323
X17.2952 Y27.5167 Z26.3762
X14.0794 Y32.0729 Z27.7085
X12.0736 Y37.1563 Z29.2151
X11.1494 Y41.7771 Z30.7348
X10.8950 Y45.3728 Z32.0463
X10.9231 Y47.7724 Z32.9907
X11.0005 Y49.0825 Z33.5305
X11.0413 Y49.5835 Z33.7415
X11.0478 Y49.6563 Z33.7724
