X32.6246 Y57.6969 Z26.6061
X32.6069 Y57.6879 Z26.6090
X32.4853 Y57.6259 Z26.6290
X32.1659 Y57.4641 Z26.6828
X31.5747 Y57.1681 Z26.7864
X30.6646 Y56.7212 Z26.9564
X29.4198 Y56.1274 Z27.2098
X27.8576 Y55.4105 Z27.5622
X26.0254 Y54.6099 Z28.0243
X23.9968 Y53.7738 Z28.5978
X21.8636 Y52.9513 Z29.2710
X19.7279 Y52.1856 Z30.0167
X17.6923 Y51.5091 Z30.7938
X15.8506 Y50.9415 Z31.5523
X14.2779 Y50.4898 Z32.2411
X13.0238 Y50.1512 Z32.8172
X12.1064 Y49.9156 Z33.2535
X11.5103 Y49.7680 Z33.5437
X11.1883 Y49.6900 Z33.7026
X11.0656 Y49.6606 Z33.7636
X11.0478 Y49.6563 Z33.7724
