X37.6801 Y39.6853 Z-8.7054
X37.6186 Y39.6082 Z-8.7759
X37.1929 Y39.0739 Z-9.2548
X36.0515 Y37.6357 Z-10.4585
X33.8464 Y34.8409 Z-12.4646
X30.2191 Y30.2315 Z-14.8975
X24.8186 Y23.4739 Z-16.6301
X17.4204 Y14.8184 Z-15.4838
X8.2754 Y5.9394 Z-8.6463
X-1.1629 Y-0.0001 Z4.7160
X-7.5744 Y-0.7887 Z21.1863
X-7.4511 Y2.8703 Z36.4170
X-1.0416 Y8.8676 Z48.4818
X8.1711 Y15.4022 Z57.2838
X17.1003 Y21.3594 Z63.3293
X24.2561 Y26.1776 Z67.2291
X29.2924 Y29.6757 Z69.5679
X32.4197 Y31.9174 Z70.8501
X34.0522 Y33.1145 Z71.4632
X34.6628 Y33.5676 Z71.6818
X34.7509 Y33.6333 Z71.7129
