X45.3592 Y67.4133 Z33.0376
X45.2398 Y67.2978 Z32.9383
X44.4231 Y66.5053 Z32.2599
X42.3214 Y64.4478 Z30.5215
X38.5868 Y60.7090 Z27.4683
X33.2219 Y55.0699 Z23.2031
X26.6603 Y47.4644 Z18.3065
X19.8648 Y37.9447 Z13.9167
X14.4752 Y26.8263 Z11.5788
X12.7756 Y15.1949 Z12.4963
X16.6851 Y5.4752 Z16.5183
X25.6992 Y0.6265 Z22.3198
X36.9072 Y1.7816 Z28.6204
X47.7019 Y7.5454 Z34.7284
X56.9539 Y15.5303 Z40.3053
X64.3816 Y23.6459 Z45.0965
X69.9484 Y30.4900 Z48.8699
X73.6917 Y35.3468 Z51.4795
X75.7780 Y38.1115 Z52.9522
X76.5879 Y39.1921 Z53.5262
X76.7064 Y39.3504 Z53.6103
