X37.6801 Y39.6853 Z-8.7054
X37.6506 Y39.6449 Z-8.6447
X37.4490 Y39.3688 Z-8.2254
X36.9280 Y38.6595 Z-7.1175
X35.9949 Y37.4054 Z-5.0394
X34.6384 Y35.6240 Z-1.7791
X32.9426 Y33.4788 Z2.7770
X31.0812 Y31.2522 Z8.6076
X29.2914 Y29.2744 Z15.5330
X27.8307 Y27.8324 Z23.2295
X26.9247 Y27.0960 Z31.2874
X26.7152 Y27.0895 Z39.2852
X27.2227 Y27.7085 Z46.8458
X28.3353 Y28.7612 Z53.6608
X29.8292 Y30.0175 Z59.4940
X31.4198 Y31.2536 Z64.1830
X32.8317 Y32.2913 Z67.6512
X33.8720 Y33.0275 Z69.9288
X34.4771 Y33.4460 Z71.1692
X34.7158 Y33.6094 Z71.6438
X34.7509 Y33.6333 Z71.7129
