X35.5029 Y52.4073 Z31.4055
X35.4771 Y52.3414 Z31.3463
X35.2997 Y51.8861 Z30.9437
X34.8293 Y50.6756 Z29.9260
X33.9426 Y48.3807 Z28.1994
X32.5420 Y44.7297 Z25.9691
X30.5734 Y39.5810 Z23.8302
X28.0579 Y33.0993 Z22.7409
X25.1398 Y26.0387 Z23.7629
X22.1475 Y19.8948 Z27.5426
X19.6161 Y16.3985 Z33.8173
X18.1568 Y16.4114 Z41.4703
X18.1234 Y19.4213 Z49.1755
X19.3477 Y24.1274 Z55.9851
X21.2635 Y29.2243 Z61.4607
X23.2608 Y33.7840 Z65.5284
X24.9235 Y37.3097 Z68.3125
X26.0725 Y39.6592 Z70.0276
X26.7107 Y40.9422 Z70.9219
X26.9565 Y41.4329 Z71.2565
X26.9923 Y41.5042 Z71.3048
