X35.5029 Y52.4073 Z31.4055
X35.4866 Y52.3874 Z31.4344
X35.3754 Y52.2511 Z31.6334
X35.0861 Y51.8971 Z32.1580
X34.5615 Y51.2571 Z33.1371
X33.7819 Y50.3106 Z34.6637
X32.7715 Y49.0927 Z36.7871
X31.5968 Y47.6902 Z39.5051
X30.3565 Y46.2249 Z42.7594
X29.1643 Y44.8293 Z46.4358
X28.1282 Y43.6185 Z50.3734
X27.3295 Y42.6692 Z54.3807
X26.8077 Y42.0082 Z58.2561
X26.5528 Y41.6146 Z61.8089
X26.5115 Y41.4322 Z64.8790
X26.6035 Y41.3885 Z67.3533
X26.7455 Y41.4140 Z69.1793
X26.8732 Y41.4568 Z70.3736
X26.9543 Y41.4885 Z71.0215
X26.9874 Y41.5022 Z71.2689
X26.9923 Y41.5042 Z71.3048
