X52.0443 Y56.6031 Z57.7770
X51.9455 Y56.5353 Z57.6443
X51.2703 Y56.0699 Z56.7350
X49.5380 Y54.8608 Z54.3800
X46.4727 Y52.6630 Z50.1356
X42.0716 Y49.3515 Z43.8789
X36.5899 Y44.8853 Z35.8841
X30.4599 Y39.2288 Z26.9405
X24.2042 Y32.3006 Z18.5342
X18.4241 Y24.1184 Z12.8854
X13.9208 Y15.3248 Z12.2438
X11.7843 Y7.7140 Z17.1991
X12.9695 Y3.4099 Z25.8731
X17.3767 Y2.9726 Z35.5599
X23.6508 Y5.2040 Z44.4289
X30.0937 Y8.4768 Z51.6608
X35.4819 Y11.5828 Z57.0058
X39.2474 Y13.8830 Z60.5067
X41.3619 Y15.2105 Z62.4103
X42.1817 Y15.7311 Z63.1382
X42.3014 Y15.8075 Z63.2442
