X71.1407 Y75.4749 Z77.2528
X71.0889 Y75.3952 Z77.2052
X70.7359 Y74.8515 Z76.8824
X69.8369 Y73.4634 Z76.0721
X68.2667 Y71.0227 Z74.6974
X66.0475 Y67.5224 Z72.8409
X63.3190 Y63.1079 Z70.6997
X60.2799 Y58.0017 Z68.5094
X57.1383 Y52.4517 Z66.4857
X54.0832 Y46.7077 Z64.7914
X51.2711 Y41.0120 Z63.5228
X48.8177 Y35.5917 Z62.7067
X46.7929 Y30.6480 Z62.3062
X45.2180 Y26.3426 Z62.2356
X44.0685 Y22.7847 Z62.3816
X43.2847 Y20.0233 Z62.6286
X42.7888 Y18.0454 Z62.8805
X42.5030 Y16.7794 Z63.0757
X42.3607 Y16.1018 Z63.1914
X42.3089 Y15.8447 Z63.2374
X42.3014 Y15.8075 Z63.2442
