X52.6303 Y21.7351 Z65.9336
X52.6101 Y21.7471 Z65.9059
X52.4721 Y21.8299 Z65.7157
X52.1167 Y22.0506 Z65.2185
X51.4850 Y22.4724 Z64.3068
X50.5764 Y23.1554 Z62.9243
X49.4546 Y24.1551 Z61.0741
X48.2332 Y25.5164 Z58.8160
X47.0487 Y27.2622 Z56.2563
X46.0273 Y29.3798 Z53.5313
X45.2575 Y31.8101 Z50.7890
X44.7764 Y34.4450 Z48.1707
X44.5689 Y37.1366 Z45.7956
X44.5794 Y39.7168 Z43.7506
X44.7300 Y42.0240 Z42.0846
X44.9399 Y43.9299 Z40.8106
X45.1425 Y45.3601 Z39.9099
X45.2960 Y46.3052 Z39.3391
X45.3860 Y46.8209 Z39.0355
X45.4215 Y47.0183 Z38.9208
X45.4268 Y47.0471 Z38.9041
