X27.8008 Y13.4019 Z29.3081
X27.7878 Y13.3516 Z29.2915
X27.6951 Y13.0058 Z29.1746
X27.4242 Y12.1017 Z28.8446
X26.8176 Y10.4466 Z28.1464
X25.6163 Y7.9713 Z26.8506
X23.4570 Y4.8129 Z24.6516
X19.9525 Y1.4322 Z21.2152
X14.8923 Y-1.2759 Z16.2827
X8.5457 Y-2.0249 Z9.8150
X1.8990 Y0.3724 Z2.1591
X-3.5804 Y6.0015 Z-5.7939
X-6.8273 Y13.3832 Z-12.6297
X-7.8527 Y20.5480 Z-16.9602
X-7.4237 Y26.2994 Z-18.3936
X-6.3822 Y30.3695 Z-17.7907
X-5.3079 Y32.9863 Z-16.4156
X-4.4939 Y34.5106 Z-15.1540
X-4.0211 Y35.2751 Z-14.3676
X-3.8354 Y35.5553 Z-14.0505
X-3.8082 Y35.5956 Z-14.0036
