X73.5944 Y55.2984 Z32.7989
X73.4938 Y55.1317 Z32.7131
X72.8048 Y53.9902 Z32.1276
X71.0177 Y51.0425 Z30.6286
X67.7678 Y45.7630 Z27.9944
X62.8296 Y38.0842 Z24.2840
X56.0249 Y28.5869 Z19.8793
X47.1323 Y18.8214 Z15.4961
X35.9753 Y11.5236 Z12.1901
X23.0233 Y9.7661 Z11.2924
X10.6282 Y14.6093 Z13.9824
X2.8851 Y24.0403 Z20.3464
X1.9072 Y35.0690 Z28.9755
X6.0416 Y45.6880 Z38.0292
X12.4717 Y54.9797 Z46.2823
X19.0654 Y62.5841 Z53.1598
X24.5772 Y68.3511 Z58.4213
X28.4455 Y72.2508 Z61.9977
X30.6281 Y74.4287 Z64.0017
X31.4769 Y75.2746 Z64.7814
X31.6010 Y75.3984 Z64.8956
