X73.5944 Y55.2984 Z32.7989
X73.5454 Y55.2885 Z32.7969
X73.2088 Y55.2220 Z32.7840
X72.3314 Y55.0625 Z32.7593
X70.7292 Y54.8223 Z32.7480
X68.3163 Y54.5836 Z32.8187
X65.1167 Y54.4922 Z33.0897
X61.2581 Y54.7224 Z33.7200
X56.9503 Y55.4274 Z34.8827
X52.4557 Y56.6966 Z36.7252
X48.0523 Y58.5336 Z39.3251
X43.9936 Y60.8543 Z42.6499
X40.4721 Y63.5019 Z46.5370
X37.5960 Y66.2701 Z50.7028
X35.3860 Y68.9313 Z54.7862
X33.7931 Y71.2684 Z58.4187
X32.7261 Y73.1123 Z61.3047
X32.0785 Y74.3772 Z63.2906
X31.7437 Y75.0843 Z64.4019
X31.6190 Y75.3583 Z64.8326
X31.6010 Y75.3984 Z64.8956
