X30.5955 Y19.0038 Z39.7017
X30.5725 Y18.9541 Z39.6566
X30.4112 Y18.6146 Z39.3436
X29.9639 Y17.7446 Z38.5025
X29.0458 Y16.2235 Z36.8722
X27.4149 Y14.1457 Z34.1829
X24.8026 Y11.9400 Z30.1796
X21.0424 Y10.4811 Z24.7062
X16.2994 Y11.0542 Z17.8727
X11.2741 Y14.8650 Z10.2953
X7.0738 Y22.0061 Z3.3031
X4.5978 Y30.9505 Z-1.2354
X3.9743 Y39.6229 Z-1.8971
X4.6707 Y46.7057 Z1.0870
X5.9870 Y51.8442 Z6.0026
X7.3819 Y55.2491 Z11.0129
X8.5444 Y57.3305 Z15.0299
X9.3493 Y58.4939 Z17.7128
X9.7976 Y59.0601 Z19.1691
X9.9706 Y59.2643 Z19.7235
X9.9958 Y59.2935 Z19.8040
