X30.5955 Y19.0038 Z39.7017
X30.5619 Y19.0284 Z39.6775
X30.3314 Y19.1984 Z39.5111
X29.7326 Y19.6491 Z39.0768
X28.6475 Y20.5000 Z38.2819
X27.0370 Y21.8509 Z37.0809
X24.9536 Y23.7760 Z35.4837
X22.5354 Y26.3119 Z33.5545
X19.9806 Y29.4420 Z31.4029
X17.5059 Y33.0843 Z29.1681
X15.3012 Y37.0885 Z26.9990
X13.4938 Y41.2501 Z25.0325
X12.1331 Y45.3365 Z23.3725
X11.1961 Y49.1192 Z22.0742
X10.6097 Y52.4050 Z21.1384
X10.2788 Y55.0582 Z20.5197
X10.1117 Y57.0164 Z20.1457
X10.0364 Y58.2963 Z19.9410
X10.0065 Y58.9902 Z19.8435
X9.9971 Y59.2550 Z19.8089
X9.9958 Y59.2935 Z19.8040
