X42.6291 Y36.8862 Z4.9414
X42.6275 Y36.8841 Z4.9387
X42.6163 Y36.8693 Z4.9201
X42.5861 Y36.8293 Z4.8698
X42.5273 Y36.7518 Z4.7725
X42.4308 Y36.6245 Z4.6136
X42.2873 Y36.4353 Z4.3795
X42.0874 Y36.1722 Z4.0580
X41.8217 Y35.8232 Z3.6385
X41.4806 Y35.3762 Z3.1126
X41.0540 Y34.8189 Z2.4743
X40.5315 Y34.1391 Z1.7208
X39.9020 Y33.3243 Z0.8527
X39.1542 Y32.3623 Z-0.1254
X38.2761 Y31.2414 Z-1.2038
X37.2552 Y29.9510 Z-2.3675
X36.0791 Y28.4824 Z-3.5954
X34.7350 Y26.8298 Z-4.8589
X33.2106 Y24.9916 Z-6.1220
X31.4946 Y22.9728 Z-7.3393
X29.5770 Y20.7863 Z-8.4566
X27.4503 Y18.4560 Z-9.4095
X25.1103 Y16.0187 Z-10.1247
X22.5583 Y13.5261 Z-10.5214
X19.8027 Y11.0449 Z-10.5152
X16.8613 Y8.6557 Z-10.0246
X13.7646 Y6.4471 Z-8.9809
X10.5580 Y4.5088 Z-7.3405
X7.3050 Y2.9202 Z-5.0966
X4.0872 Y1.7410 Z-2.2874
X1.0034 Y1.0034 Z1.0034
X-1.8363 Y0.7098 Z4.6567
X-4.3201 Y0.8352 Z8.5342
X-6.3478 Y1.3340 Z12.4973
X-7.8451 Y2.1479 Z16.4225
X-8.7743 Y3.2133 Z20.2107
X-9.1392 Y4.4673 Z23.7900
X-8.9814 Y5.8517 Z27.1138
X-8.3711 Y7.3145 Z30.1570
X-7.3953 Y8.8113 Z32.9109
X-6.1461 Y10.3048 Z35.3782
X-4.7125 Y11.7650 Z37.5697
X-3.1741 Y13.1678 Z39.5012
X-1.5988 Y14.4947 Z41.1911
X-0.0421 Y15.7319 Z42.6592
X1.4530 Y16.8696 Z43.9255
X2.8542 Y17.9018 Z45.0095
X4.1391 Y18.8251 Z45.9299
X5.2932 Y19.6391 Z46.7042
X6.3086 Y20.3451 Z47.3489
X7.1831 Y20.9465 Z47.8787
X7.9188 Y21.4484 Z48.3076
X8.5216 Y21.8571 Z48.6480
X9.0002 Y22.1801 Z48.9114
X9.3657 Y22.4259 Z49.1087
X9.6310 Y22.6039 Z49.2499
X9.8108 Y22.7244 Z49.3445
X9.9207 Y22.7980 Z49.4020
X9.9775 Y22.8359 Z49.4316
X9.9985 Y22.8500 Z49.4425
X10.0015 Y22.8520 Z49.4441
