X68.3979 Y41.0074 Z19.6021
X68.3369 Y40.9794 Z19.5263
X67.9131 Y40.7823 Z19.0063
X66.7673 Y40.2244 Z17.6586
X64.5205 Y39.0433 Z15.2387
X60.7504 Y36.8821 Z11.7458
X55.0157 Y33.3742 Z7.5711
X46.9635 Y28.3970 Z3.7105
X36.5464 Y22.4328 Z1.9922
X24.3677 Y16.7383 Z4.9182
X12.1144 Y12.8370 Z14.0298
X2.6265 Y11.4556 Z27.3773
X-1.3602 Y12.1177 Z40.7951
X0.6231 Y13.8003 Z51.6533
X6.4615 Y15.6531 Z59.4393
X13.3252 Y17.2213 Z64.5976
X19.2235 Y18.3580 Z67.7840
X23.3146 Y19.0772 Z69.5922
X25.5791 Y19.4572 Z70.4841
X26.4487 Y19.6002 Z70.8083
X26.5753 Y19.6209 Z70.8546
