X25.1283 Y13.1485 Z70.1200
X25.0025 Y13.0876 Z70.0721
X24.1325 Y12.6689 Z69.7362
X21.8170 Y11.5724 Z68.8031
X17.4368 Y9.5571 Z66.8768
X10.6036 Y6.5154 Z63.3949
X1.6536 Y2.5735 Z57.5756
X-7.3167 Y-1.6954 Z48.4227
X-11.7084 Y-4.8678 Z34.8706
X-7.3801 Y-4.2025 Z16.5702
X4.0911 Y3.5607 Z-3.5180
X17.9465 Y18.1135 Z-17.5028
X30.9497 Y34.2778 Z-20.9762
X41.7329 Y47.7755 Z-17.5023
X49.9364 Y57.4718 Z-11.5302
X55.7058 Y63.8044 Z-5.5883
X59.4430 Y67.6146 Z-0.8229
X61.6347 Y69.7083 Z2.4023
X62.7374 Y70.7119 Z4.1763
X63.1421 Y71.0704 Z4.8569
X63.2002 Y71.1214 Z4.9560
