X68.3979 Y41.0074 Z19.6021
X68.3462 Y40.9370 Z19.6188
X67.9918 Y40.4562 Z19.7352
X67.0701 Y39.2225 Z20.0523
X65.3954 Y37.0442 Z20.6828
X62.8914 Y33.9475 Z21.7636
X59.5986 Y30.1873 Z23.4555
X55.6590 Y26.1883 Z25.9208
X51.2869 Y22.4336 Z29.2783
X46.7387 Y19.3417 Z33.5479
X42.2852 Y17.1732 Z38.6077
X38.1836 Y15.9958 Z44.1903
X34.6465 Y15.7044 Z49.9266
X31.8096 Y16.0770 Z55.4170
X29.7096 Y16.8405 Z60.3034
X28.2841 Y17.7296 Z64.3199
X27.4018 Y18.5336 Z67.3226
X26.9096 Y19.1248 Z69.3024
X26.6723 Y19.4667 Z70.3816
X26.5874 Y19.6011 Z70.7946
X26.5753 Y19.6209 Z70.8546
