X41.5605 Y-4.1662 Z12.8037
X41.4648 Y-4.2173 Z12.7447
X40.8027 Y-4.5608 Z12.3410
X39.0367 Y-5.3950 Z11.2986
X35.6624 Y-6.6632 Z9.4442
X30.2193 Y-7.8461 Z6.8213
X22.3874 Y-7.8303 Z3.8258
X12.3352 Y-5.2086 Z1.3744
X1.4657 Y0.6728 Z0.9486
X-7.1172 Y8.8305 Z3.9967
X-10.3215 Y17.3616 Z10.4842
X-7.7433 Y24.8376 Z18.5111
X-1.2650 Y30.7598 Z26.0688
X6.8655 Y35.2202 Z32.2351
X14.9141 Y38.4871 Z36.8945
X21.7886 Y40.8029 Z40.2216
X26.9652 Y42.3548 Z42.4470
X30.3608 Y43.3017 Z43.8001
X32.1986 Y43.7930 Z44.5006
X32.8985 Y43.9764 Z44.7617
X33.0002 Y44.0029 Z44.7994
