X71.4012 Y25.6031 Z44.8044
X71.3370 Y25.4930 Z44.7531
X70.8909 Y24.7386 Z44.3991
X69.6857 Y22.7897 Z43.4579
X67.3222 Y19.3164 Z41.6719
X63.3407 Y14.3811 Z38.8210
X57.2083 Y8.6618 Z34.7584
X48.3949 Y3.6874 Z29.4929
X36.7014 Y1.8676 Z23.3333
X23.1155 Y5.6796 Z17.0936
X10.8005 Y15.5362 Z12.2605
X3.6908 Y28.6969 Z10.6942
X2.7720 Y41.6747 Z13.3361
X5.9834 Y52.5369 Z19.0648
X10.8536 Y60.8101 Z25.6560
X15.7041 Y66.6962 Z31.4328
X19.6449 Y70.6044 Z35.7040
X22.3432 Y72.9667 Z38.4313
X23.8390 Y74.1858 Z39.8769
X24.4152 Y74.6398 Z40.4213
X24.4992 Y74.7052 Z40.5001
