X75.0031 Y14.0201 Z5.5985
X74.9522 Y14.0170 Z5.6032
X74.6027 Y13.9994 Z5.6370
X73.6903 Y13.9772 Z5.7360
X72.0200 Y14.0221 Z5.9591
X69.4962 Y14.2840 Z6.4036
X66.1379 Y14.9582 Z7.2103
X62.0792 Y16.2166 Z8.5484
X57.5518 Y18.1445 Z10.5792
X52.8545 Y20.7159 Z13.4057
X48.3083 Y23.8070 Z17.0227
X44.2033 Y27.2273 Z21.2889
X40.7473 Y30.7526 Z25.9346
X38.0357 Y34.1528 Z30.6072
X36.0525 Y37.2149 Z34.9384
X34.7004 Y39.7665 Z38.6132
X33.8444 Y41.6988 Z41.4249
X33.3499 Y42.9860 Z43.3077
X33.1033 Y43.6923 Z44.3434
X33.0131 Y43.9634 Z44.7414
X33.0002 Y44.0029 Z44.7994
