X9.7207 Y61.9214 Z41.2713
X9.6705 Y61.8885 Z41.2209
X9.3237 Y61.6629 Z40.8789
X8.3990 Y61.0766 Z40.0174
X6.6364 Y60.0161 Z38.5698
X3.8066 Y58.4590 Z36.7510
X-0.2424 Y56.5154 Z35.1682
X-5.4747 Y54.4629 Z34.8345
X-11.4813 Y52.7428 Z36.8939
X-17.3127 Y51.8654 Z41.9181
X-21.6066 Y52.2122 Z49.2520
X-23.2372 Y53.8394 Z57.3587
X-22.0394 Y56.4453 Z64.8626
X-18.8306 Y59.5207 Z71.0656
X-14.8066 Y62.5501 Z75.8072
X-10.9746 Y65.1483 Z79.1965
X-7.9286 Y67.1105 Z81.4479
X-5.8754 Y68.3982 Z82.8037
X-4.7494 Y69.0947 Z83.5002
X-4.3182 Y69.3597 Z83.7587
X-4.2554 Y69.3982 Z83.7960
